Row ID,Battery Life,Beach Name,UMAP-0,UMAP-1,Measurement Timestamp,Turbidity,UMAP-0-0,UMAP-1-1,Water Temperature,Wave Height,Wave Period
73,1,0,-44.1004,25.0797,1402833600,0,18.549,9.68488,-1,0,-1
74,1,0,-44.1567,24.5961,1402837200,0,-5.20013,11.2261,-1,0,-1
75,1,0,-44.1512,24.0822,1402840800,0,8.62676,-0.381861,-1,0,-1
76,1,0,-44.0678,23.5786,1402844400,0,-7.58298,-7.32714,-1,0,-1
77,1,0,-43.8897,23.1059,1402848000,0,-3.83454,-4.35185,-1,0,-1
78,1,0,-43.617,22.6746,1402851600,0,5.71079,16.6163,-1,-1,-1
79,1,0,-43.2704,22.334,1402855200,0,-7.32059,8.35498,-1,-1,-1
80,1,0,-42.8416,22.0762,1402858800,0,8.22669,-3.32859,-1,-1,2
81,1,0,-42.3459,21.9155,1402862400,0,17.5658,11.1395,-1,-1,1
82,1,0,-41.8244,21.8665,1402866000,0,-5.91767,6.33597,0,-1,1
83,1,0,-41.3036,21.9268,1402869600,0,18.4223,0.481378,0,-1,-1
84,1,0,-40.8039,22.086,1402873200,0,-12.2425,10.0269,-1,-1,-1
85,1,0,-40.3355,22.3304,1402876800,0,9.40656,0.690776,-1,-1,0
86,1,0,-39.9097,22.64,1402880400,0,-13.0534,8.0341,-1,-1,2
87,1,0,-39.5251,22.9992,1402884000,0,15.0205,1.01559,-1,-1,0
88,1,0,-39.1795,23.3911,1402887600,0,3.75552,8.77499,-1,-1,1
89,1,0,-38.8616,23.8063,1402891200,0,2.68987,-9.29029,-1,-1,0
90,1,0,-38.5589,24.2336,1402894800,0,2.81155,-12.0299,-1,-1,0
91,1,0,-38.2603,24.6593,1402898400,0,-12.4287,6.23651,-1,-1,0
92,1,0,-37.957,25.0699,1402902000,0,9.77702,-6.94636,-1,-1,1
93,1,0,-37.6451,25.4485,1402905600,0,5.87214,-6.93174,-1,-1,0
94,1,0,-37.3129,25.7966,1402909200,0,4.97306,5.28788,-1,-1,0
95,1,0,-36.9302,26.1366,1402912800,0,8.83315,14.8217,-1,-1,1
96,1,0,-36.5241,26.4443,1402916400,0,10.4928,12.7927,0,-1,0
97,1,0,-36.1427,26.6871,1402920000,0,17.2969,8.85192,0,-1,2
98,1,0,-35.7583,26.8947,1402923600,0,-3.70801,-8.16876,0,-1,0
99,1,0,-35.3218,27.1007,1402927200,0,9.0337,14.0525,0,-1,0
100,1,0,-34.831,27.3158,1402930800,0,-0.106747,-9.58182,0,-1,0
101,1,0,-34.3833,27.512,1402934400,0,-10.6752,13.7666,0,0,0
102,1,0,-33.9626,27.7089,1402938000,0,9.47527,2.10098,0,0,-1
103,1,0,-33.5312,27.9344,1402941600,0,-7.77493,-8.7037,0,0,-1
104,1,0,-33.0984,28.1948,1402945200,0,1.70447,-10.5925,0,0,2
105,1,0,-32.6809,28.4889,1402948800,0,6.78745,11.5746,0,0,1
106,1,0,-32.3171,28.7923,1402952400,0,13.5154,9.04088,0,0,-1
107,1,0,-32.0341,29.0749,1402956000,0,1.65452,3.12823,0,0,-1
