Row ID,Battery Life,Beach Name,TSNE-0,TSNE-1,Measurement Timestamp,Turbidity,Water Temperature,Wave Height,Wave Period,t_0_trx,t_1_trx,AscendingManifold,MorseSmaleManifold
24162,1.69906,3,-73.2016,-41.5927,1464346800,-0.10564,-1.65541,-0.779059,-0.568405,20,77,10,11
24163,1.83628,2,-73.028,-41.6448,1464350400,-0.150173,-2.27452,-0.906331,3.3008,21,77,10,11
24164,1.69906,3,-73.028,-41.6448,1464350400,-0.109866,-1.59645,-0.83691,3.94567,21,77,10,11
24165,1.83628,2,-72.8524,-41.6969,1464354000,-0.150173,-2.304,-0.894761,3.3008,21,77,10,11
24166,1.69906,3,-72.8524,-41.6969,1464354000,-0.107591,-1.44905,-0.825339,-0.568405,21,77,10,11
24167,1.83628,2,-72.6777,-41.7483,1464357600,-0.150173,-2.39245,-0.339391,2.65594,21,77,10,11
24168,1.56185,3,-72.6777,-41.7483,1464357600,-0.111166,-1.56697,-0.674927,-1.21327,21,77,10,11
24169,1.83628,2,-72.502,-41.7993,1464361200,-0.150173,-2.33349,-0.651786,0.0764631,22,77,10,11
24170,1.56185,3,-72.502,-41.7993,1464361200,-0.111491,-1.44905,-0.88319,-0.568405,22,77,10,11
24171,1.83628,2,-72.3262,-41.8496,1464364800,-0.150173,-2.36297,-0.83691,3.3008,22,77,10,11
24172,1.56185,3,-72.3262,-41.8496,1464364800,-0.107591,-1.47853,-0.617076,-1.21327,22,77,10,11
24173,1.83628,2,-72.1514,-41.8989,1464368400,-0.150173,-2.36297,-0.478233,2.65594,22,77,10,11
24174,1.56185,3,-72.1514,-41.8989,1464368400,-0.111166,-1.33112,-0.767488,-0.568405,22,77,10,11
24175,1.69906,2,-71.9762,-41.9477,1464372000,-0.150173,-2.39245,-0.744348,2.01107,23,77,10,11
24176,1.56185,3,-71.9762,-41.9477,1464372000,-0.109541,-1.3606,-0.640216,0.0764631,23,77,10,11
24177,1.69906,2,-71.8012,-41.9957,1464375600,-0.150173,-2.42193,-0.501374,1.3662,23,77,10,11
24178,1.56185,3,-71.8012,-41.9957,1464375600,-0.111491,-1.56697,-0.478233,-0.568405,23,77,10,11
24179,1.69906,2,-71.6263,-42.043,1464379200,-0.150173,-2.42193,-0.536084,1.3662,23,77,10,11
24180,1.56185,3,-71.6263,-42.043,1464379200,-0.102065,-1.50801,-0.223689,-0.568405,23,77,10,11
24181,1.69906,2,-71.4498,-42.0899,1464382800,-0.150173,-2.48089,-0.640216,-0.568405,23,76,10,11
24182,1.56185,3,-71.4498,-42.0899,1464382800,-0.109866,-1.62593,-0.709637,-0.568405,23,76,10,11
24183,1.69906,2,-71.2752,-42.1356,1464386400,-0.150173,-2.48089,-0.628646,3.94567,24,76,10,11
24184,1.56185,3,-71.2752,-42.1356,1464386400,-0.102065,-1.62593,-0.802199,-0.568405,24,76,10,11
24185,1.69906,2,-71.0978,-42.1812,1464390000,-0.150173,-2.48089,-0.755918,-0.568405,24,76,10,11
24186,1.56185,3,-71.0978,-42.1812,1464390000,-0.104665,-1.65541,-0.674927,-0.568405,24,76,10,11
24187,1.69906,2,-70.9195,-42.2263,1464393600,-0.150173,-2.45141,-0.593935,2.01107,24,76,10,11
24188,1.56185,3,-70.9194,-42.2263,1464393600,-0.101089,-1.71438,-0.813769,-0.568405,24,76,10,11
24189,1.69906,2,-70.7427,-42.2702,1464397200,-0.150173,-2.42193,-0.813769,1.3662,25,76,10,11
24190,1.56185,3,-70.7427,-42.2702,1464397200,-0.0838613,-1.71438,-0.894761,-0.568405,25,76,10,11
24191,1.69906,2,-70.5643,-42.3138,1464400800,-0.150173,-2.36297,-0.86005,1.3662,25,76,10,11
24192,1.56185,3,-70.5643,-42.3138,1464400800,-0.105965,-1.71438,-0.779059,-0.568405,25,76,10,11
24193,1.69906,2,-70.3897,-42.3557,1464404400,-0.150173,-2.42193,-0.779059,0.721331,25,76,10,11
24194,1.42463,3,-70.3897,-42.3557,1464404400,-0.110516,-1.71438,-0.952612,-0.568405,25,76,10,11
24195,1.56185,2,-70.2105,-42.3979,1464408000,-0.150173,-2.42193,-0.906331,0.721331,26,76,10,11
24196,1.42463,3,-70.2105,-42.3979,1464408000,-0.110191,-1.74386,-1.0336,-0.568405,26,76,10,11
24197,1.56185,2,-70.0338,-42.4387,1464411600,-0.150173,-2.42193,-0.952612,-0.568405,26,76,10,11
24198,1.42463,3,-70.0338,-42.4387,1464411600,-0.110516,-1.80282,-0.906331,-0.568405,26,76,10,11
24199,1.56185,2,-69.8547,-42.4794,1464415200,-0.150173,-2.39245,-0.941041,3.3008,26,76,10,11
24200,1.42463,3,-69.8547,-42.4794,1464415200,-0.111816,-1.74386,-0.825339,-1.21327,26,76,10,11
24201,1.56185,2,-69.6752,-42.5195,1464418800,-0.150173,-2.36297,-0.83691,-0.568405,27,76,10,11
24202,1.42463,3,-69.6752,-42.5195,1464418800,-0.110841,-1.80282,-0.698067,-0.568405,27,76,10,11
24203,1.56185,2,-69.4948,-42.559,1464422400,-0.150173,-2.304,-0.779059,-0.568405,27,76,10,11
24204,1.42463,3,-69.4948,-42.559,1464422400,-0.110841,-1.74386,-0.593935,-0.568405,27,76,10,11
24205,1.56185,2,-69.3167,-42.5973,1464426000,-0.150173,-2.21556,-0.709637,-0.568405,27,76,10,11
24206,1.42463,3,-69.3167,-42.5973,1464426000,-0.104665,-1.74386,-0.397242,-1.21327,27,76,10,11
24207,1.56185,2,-69.1363,-42.6354,1464429600,-0.150173,-2.09764,-0.813769,2.65594,27,75,10,11
24208,1.42463,3,-69.1363,-42.6354,1464429600,-0.100764,-1.62593,-0.674927,-0.568405,27,75,10,11
24209,1.56185,2,-68.9582,-42.6724,1464433200,-0.150173,-1.92075,-0.790629,2.01107,28,75,10,11
24210,1.42463,3,-68.9582,-42.6724,1464433200,-0.105965,-1.71438,-0.501374,-0.568405,28,75,10,11
24211,1.56185,2,-68.7791,-42.7089,1464436800,-0.150173,-1.95023,-0.802199,-0.568405,28,75,10,11
24212,1.42463,3,-68.7791,-42.7089,1464436800,-0.0971887,-1.71438,-0.431953,-0.568405,28,75,10,11
24213,1.56185,2,-68.6036,-42.744,1464440400,-0.150173,-1.8323,-0.721208,0.0764631,28,75,10,11
24214,1.42463,3,-68.6036,-42.744,1464440400,-0.106615,-1.77334,-0.327821,-0.568405,28,75,10,11
24215,1.56185,2,-68.4278,-42.7786,1464444000,-0.150173,-1.77334,-0.698067,0.0764631,29,75,10,11
24216,1.42463,3,-68.4278,-42.7786,1464444000,-0.109216,-1.8323,-0.00385538,0.721331,29,75,10,11
24217,1.56185,2,-68.2545,-42.8122,1464447600,-0.150173,-1.62593,-0.813769,0.0764631,29,75,10,11
24218,1.28742,3,-68.2545,-42.8122,1464447600,-0.108566,-1.8323,-0.327821,-0.568405,29,75,10,11
24219,1.42463,2,-68.0831,-42.8448,1464451200,-0.150173,-1.53749,-0.813769,3.94567,29,75,10,11
24220,1.28742,3,-68.0831,-42.8448,1464451200,-0.110516,-1.74386,-0.119557,0.0764631,29,75,10,11
24221,1.42463,2,-67.9176,-42.8758,1464454800,-0.150173,-1.62593,-0.686497,2.65594,30,75,10,11
24222,1.28742,3,-67.9176,-42.8758,1464454800,-0.110516,-1.77334,-0.443523,-0.568405,30,75,10,11
24223,1.42463,2,-67.7559,-42.9056,1464458400,-0.150173,-1.77334,-0.536084,2.01107,30,75,11,12
24224,1.28742,3,-67.7559,-42.9056,1464458400,-0.103365,-1.6849,-0.362531,-0.568405,30,75,11,12
24225,1.42463,2,-67.5971,-42.9345,1464462000,-0.150173,-1.86178,-0.698067,1.3662,30,75,11,12
24226,1.28742,3,-67.5971,-42.9345,1464462000,-0.102065,-1.6849,-0.397242,-0.568405,30,75,11,12
24227,1.42463,2,-67.4392,-42.9627,1464465600,-0.150173,-1.86178,-0.813769,0.721331,30,75,11,12
24228,1.28742,3,-67.4392,-42.9627,1464465600,-0.101739,-1.74386,-0.570795,-0.568405,30,75,11,12
24229,1.42463,2,-67.2825,-42.9903,1464469200,-0.150173,-1.92075,-0.813769,0.0764631,31,75,11,12
24230,1.28742,3,-67.2825,-42.9903,1464469200,-0.10369,-1.77334,-0.674927,-0.568405,31,75,11,12
24231,1.42463,2,-67.1193,-43.0186,1464472800,-0.150173,-1.89127,-0.721208,0.0764631,31,75,11,12
24232,1.28742,3,-67.1193,-43.0186,1464472800,-0.103365,-1.59645,-0.235259,-0.568405,31,75,11,12
24233,1.42463,2,-66.9441,-43.0486,1464476400,-0.150173,-1.92075,-0.744348,3.3008,31,75,11,12
24234,1.28742,3,-66.9441,-43.0486,1464476400,-0.104015,-1.6849,-0.512944,-0.568405,31,75,11,12
24235,1.42463,2,-66.7514,-43.0812,1464480000,-0.150173,-1.92075,-0.443523,2.01107,32,75,11,12
24236,1.28742,3,-66.7514,-43.0812,1464480000,-0.111816,-1.74386,-0.663357,-0.568405,32,75,11,12
24237,1.42463,2,-66.3375,-43.1501,1464487200,-0.150173,-1.86178,-0.802199,0.721331,32,75,11,12
24238,1.28742,3,-66.3375,-43.1501,1464487200,-0.112791,-1.71438,-0.84848,-0.568405,32,75,11,12
24239,1.42463,2,-66.145,-43.1818,1464490800,-0.150173,-1.92075,-0.755918,0.0764631,33,75,11,12
24240,1.28742,3,-66.145,-43.1818,1464490800,-0.10564,-1.77334,-1.01046,0.721331,33,75,11,12
24241,1.42463,2,-65.9702,-43.2103,1464494400,-0.150173,-1.92075,-0.906331,-0.568405,33,74,11,12
24242,1.28742,3,-65.9702,-43.2103,1464494400,-0.101089,-1.86178,-1.06831,-0.568405,33,74,11,12
24243,1.42463,2,-65.808,-43.2365,1464498000,-0.150173,-2.00919,-0.929471,-0.568405,33,74,11,12
24244,1.1502,3,-65.808,-43.2365,1464498000,-0.0978388,-1.8323,-1.21873,0.0764631,33,74,11,12
24245,1.28742,2,-65.6514,-43.2616,1464501600,-0.150173,-1.97971,-0.767488,0.0764631,34,74,11,12
24246,1.28742,3,-65.6514,-43.2616,1464501600,-0.104665,-1.92075,-1.1493,-0.568405,34,74,11,12
24247,1.28742,2,-65.4925,-43.2869,1464505200,-0.150173,-1.97971,-1.01046,-0.568405,34,74,11,12
24248,1.1502,3,-65.4925,-43.2869,1464505200,-0.101414,-1.89127,-1.17245,0.0764631,34,74,11,12
24249,1.28742,2,-65.3351,-43.3118,1464508800,-0.150173,-1.97971,-1.0336,0.0764631,34,74,11,12
24250,1.1502,3,-65.3351,-43.3118,1464508800,-0.104665,-1.8323,-1.16088,-0.568405,34,74,11,12
24251,1.28742,2,-65.1751,-43.3368,1464512400,-0.150173,-1.97971,-0.559225,0.0764631,34,74,11,12
24252,1.1502,3,-65.1751,-43.3368,1464512400,-0.108891,-1.74386,-0.964182,-0.568405,34,74,11,12
24253,1.28742,2,-65.0063,-43.3631,1464516000,-0.150173,-1.95023,-1.07988,0.0764631,35,74,11,12
24254,1.1502,3,-65.0063,-43.3631,1464516000,-0.093288,-1.8323,-0.744348,-0.568405,35,74,11,12
24255,1.28742,2,-64.8386,-43.389,1464519600,-0.150173,-1.80282,-0.84848,0.0764631,35,74,11,12
24256,1.1502,3,-64.8386,-43.389,1464519600,-0.0884121,-1.56697,-0.779059,-0.568405,35,74,11,12
24257,1.28742,2,-64.6645,-43.4158,1464523200,-0.150173,-1.74386,-0.536084,-0.568405,35,74,11,12
24258,1.1502,3,-64.6645,-43.4158,1464523200,-0.10239,-1.59645,-0.536084,-0.568405,35,74,11,12
24259,1.28742,2,-64.4912,-43.4423,1464526800,-0.150173,-1.74386,-0.987322,-0.568405,36,74,11,12
24260,1.1502,3,-64.4912,-43.4423,1464526800,-0.112466,-1.33112,-0.26997,-0.568405,36,74,11,12
24261,1.28742,2,-64.3137,-43.4695,1464530400,-0.150173,-1.77334,-0.489804,-1.21327,36,74,11,12
24262,1.1502,3,-64.3137,-43.4695,1464530400,-0.113117,-1.12475,0.366391,-0.568405,36,74,11,12
24263,1.28742,2,-64.1356,-43.4966,1464534000,-0.150173,-1.74386,-0.466663,0.721331,36,74,11,12
24264,1.1502,3,-64.1356,-43.4966,1464534000,-0.109541,-0.947863,-0.131128,-0.568405,36,74,11,12
24265,1.28742,2,-63.9561,-43.5239,1464537600,-0.150173,-1.65541,-0.362531,0.721331,37,74,11,12
24266,1.1502,3,-63.9561,-43.5239,1464537600,-0.0867868,-0.859418,-0.327821,-0.568405,37,74,11,12
24267,1.28742,2,-63.7774,-43.5511,1464541200,-0.150173,-1.65541,-0.24683,-0.568405,37,74,11,12
24268,1.1502,3,-63.7774,-43.5511,1464541200,-0.0984889,-0.918381,-0.24683,-0.568405,37,74,11,12
24269,1.28742,2,-63.5996,-43.5782,1464544800,-0.150173,-1.71438,-0.512944,2.01107,37,74,11,12
24270,1.1502,3,-63.5996,-43.5782,1464544800,-0.099139,-0.800456,-0.235259,-0.568405,37,74,11,12
24271,1.28742,2,-63.4227,-43.6052,1464548400,-0.150173,-1.77334,-0.466663,1.3662,37,74,11,12
24272,1.1502,3,-63.4227,-43.6052,1464548400,-0.105965,-0.770974,-0.119557,-0.568405,37,74,11,12
24273,1.1502,2,-63.2454,-43.6324,1464552000,-0.150173,-1.8323,-0.26997,0.0764631,38,74,11,12
24274,1.1502,3,-63.2454,-43.6324,1464552000,-0.0913376,-1.12475,-0.536084,-0.568405,38,74,11,12
24275,1.1502,2,-63.0682,-43.6596,1464555600,-0.150173,-1.86178,-0.651786,0.0764631,38,74,11,12
24276,1.1502,3,-63.0682,-43.6596,1464555600,-0.0952383,-1.33112,-0.327821,-0.568405,38,74,11,12
24277,1.1502,2,-62.8909,-43.687,1464559200,-0.150173,-1.89127,-0.84848,-0.568405,38,74,11,12
24278,1.1502,3,-62.8909,-43.687,1464559200,-0.107916,-1.47853,-0.790629,-0.568405,38,74,11,12
24279,1.1502,2,-62.7141,-43.7146,1464562800,-0.150173,-1.89127,-0.894761,3.3008,39,74,11,12
24280,1.1502,3,-62.7141,-43.7146,1464562800,-0.0861367,-1.3606,0.192838,-1.21327,39,74,11,12
24281,1.1502,2,-62.5377,-43.7423,1464566400,-0.150173,-1.86178,-0.941041,2.01107,39,74,11,12
24282,1.1502,3,-62.5377,-43.7423,1464566400,-0.10694,-1.47853,-1.05674,-0.568405,39,74,11,12
24283,1.1502,2,-62.362,-43.7702,1464570000,-0.150173,-1.86178,-0.975752,1.3662,39,74,11,12
24284,1.1502,3,-62.362,-43.7702,1464570000,-0.116367,-1.44905,-1.01046,2.01107,39,74,11,12
24285,1.1502,2,-62.187,-43.7983,1464573600,-0.150173,-1.92075,-0.779059,-0.568405,40,73,11,12
24286,1.1502,3,-62.187,-43.7983,1464573600,-0.111816,-1.27216,-1.13773,0.0764631,40,73,11,12
24287,1.1502,2,-62.0102,-43.8271,1464577200,-0.150173,-1.95023,-0.929471,0.0764631,40,73,11,12
24288,1.1502,3,-62.0102,-43.8271,1464577200,-0.0981639,-1.56697,-1.17245,0.0764631,40,73,11,12
24289,1.1502,2,-61.8336,-43.8563,1464580800,-0.150173,-1.97971,-1.11459,0.0764631,40,73,11,12
24290,1.1502,3,-61.8336,-43.8563,1464580800,-0.116692,-1.44905,-1.17245,0.0764631,40,73,11,12
24291,1.1502,2,-61.6588,-43.8857,1464584400,-0.150173,-1.97971,-1.11459,0.0764631,41,73,11,12
24292,1.1502,3,-61.6588,-43.8857,1464584400,-0.120593,-1.50801,-1.35757,-0.568405,41,73,11,12
24293,1.1502,2,-61.4827,-43.9158,1464588000,-0.150173,-1.97971,-1.10302,0.721331,41,73,11,12
24294,1.01299,3,-61.4827,-43.9158,1464588000,-0.118317,-1.56697,-1.27658,0.0764631,41,73,11,12
24295,1.1502,2,-61.3071,-43.9465,1464591600,-0.150173,-1.97971,-1.06831,0.0764631,41,73,11,12
24296,1.01299,3,-61.3071,-43.9465,1464591600,-0.126769,-1.53749,-1.2303,0.0764631,41,73,11,12
24297,1.1502,2,-61.1332,-43.9775,1464595200,-0.150173,-1.92075,-0.86005,0.0764631,41,73,11,12
