Row ID,Battery Life,Beach Name,UMAP-0,UMAP-1,Measurement Timestamp,Turbidity,Water Temperature,Wave Height,Wave Period,u_0_trx,u_1_trx,AscendingManifold,MorseSmaleManifold
4,-0.0847284,0,-53.0556,-13.6314,1379498400,0.0955708,-0.181347,-0.397242,0.0764631,56,126,49,50
12,0.875775,1,-55.6679,-14.5156,1401289200,-0.107591,-0.800456,0.250689,0.0764631,51,124,49,50
24,1.1502,2,-55.359,-14.6547,1401310800,0.0809432,-1.47853,2.15977,0.721331,52,124,49,50
17056,-0.359158,0,-69.9834,-7.52917,1437426000,-0.115067,0.349317,-1.04517,0.721331,26,137,70,71
21792,0.326916,1,-41.5795,63.4071,1440889200,-0.138471,-0.151866,-0.906331,-0.568405,76,260,-1,0
21790,-1.31966,5,-41.5795,63.4071,1440889200,-0.128069,-0.859418,0.829199,0.0764631,76,260,-1,0
26313,-0.908017,3,23.6728,19.8523,1467244800,-0.0799606,0.260873,-0.617076,0.0764631,190,184,-1,0
28334,0.875775,3,-4.52613,45.9247,1470067200,-0.113767,1.88235,0.146557,-0.568405,140,230,105,106
2948,0.0524863,0,19.4349,-3.883,1403859600,-0.123843,0.0250221,0.169698,-0.568405,182,143,63,64
