Row ID,Battery Life,Beach Name,TSNE-0,TSNE-1,Measurement Timestamp,Turbidity,Water Temperature,Wave Height,Wave Period,t_0_trx,t_1_trx,AscendingManifold,MorseSmaleManifold
7867,-0.221943,1,21.2928,67.2855,1407160800,-0.116367,0.732575,-1.07988,-1.21327,185,267,125,126
7868,0.0524863,2,21.2928,67.2855,1407160800,-0.135871,0.319836,-0.767488,0.721331,185,267,125,126
7869,-0.496373,3,21.2928,67.2855,1407160800,-0.0897123,0.614649,-0.84848,-0.568405,185,267,125,126
7870,-0.0847284,4,21.2928,67.2855,1407160800,-0.125794,0.290354,-0.802199,-1.21327,185,267,125,126
7871,-0.0847284,4,21.3717,67.7566,1407164400,-0.130995,0.20191,-0.779059,-0.568405,186,267,125,126
7872,-7.90597,0,21.3717,67.7566,1407164400,28.0805,0.732575,-0.875477,-0.783361,186,267,125,126
7873,-0.221943,1,21.3717,67.7565,1407164400,-0.121243,0.791537,-0.998892,-1.21327,186,267,125,126
7874,0.0524863,2,21.3717,67.7565,1407164400,-0.13457,0.260873,-0.84848,-0.568405,186,267,125,126
7875,-0.496373,3,21.3717,67.7566,1407164400,-0.0929629,0.732575,-0.698067,-0.568405,186,267,125,126
7876,-7.49433,0,21.4612,68.222,1407168000,0.03511,0.732575,-0.821483,-0.783361,186,268,125,126
7877,-0.221943,1,21.4612,68.222,1407168000,-0.122218,0.8505,-0.825339,-1.21327,186,268,125,126
7878,0.0524863,2,21.4612,68.222,1407168000,-0.130345,0.260873,-0.825339,-0.568405,186,268,125,126
7879,-0.496373,3,21.4612,68.222,1407168000,-0.0906875,0.732575,-0.813769,-0.568405,186,268,125,126
7880,-0.0847284,4,21.4612,68.222,1407168000,-0.128719,0.290354,-0.802199,-1.21327,186,268,125,126
7881,-0.0847284,4,21.5622,68.6886,1407171600,-0.128394,0.290354,-0.478233,2.65594,186,269,126,127
7882,-7.08268,0,21.5622,68.6886,1407171600,3.53209,0.762056,-0.431953,0.291419,186,269,126,127
7883,-0.221943,1,21.5622,68.6886,1407171600,-0.118968,0.938944,-0.28154,-1.21327,186,269,126,127
7884,0.0524863,2,21.5622,68.6886,1407171600,-0.132945,0.260873,-0.582365,2.65594,186,269,126,127
7885,-0.496373,3,21.5622,68.6886,1407171600,-0.0942632,0.732575,-0.431953,-0.568405,186,269,126,127
7886,-7.90597,0,21.6705,69.1375,1407175200,0.085494,0.762056,-0.478233,0.0764631,186,270,126,127
7887,-0.221943,1,21.6705,69.1375,1407175200,-0.118643,0.968425,-0.0732766,-1.21327,186,270,126,127
7888,0.0524863,2,21.6705,69.1375,1407175200,-0.13262,0.20191,-0.779059,2.01107,186,270,126,127
7889,-0.496373,3,21.6705,69.1375,1407175200,-0.0978388,0.673612,-0.582365,-0.568405,186,270,126,127
7890,-0.0847284,4,21.6705,69.1375,1407175200,-0.129044,0.231392,-0.640216,2.01107,186,270,126,127
7891,-0.0847284,4,21.7819,69.5566,1407178800,-0.131645,0.231392,-0.709637,1.3662,186,271,126,127
7892,-7.35711,0,21.7819,69.5566,1407178800,54.5727,0.732575,-0.636359,0.506375,186,271,126,127
7893,-0.221943,1,21.7819,69.5566,1407178800,-0.114092,1.05687,-0.339391,-1.21327,186,271,126,127
7894,0.0524863,2,21.7819,69.5566,1407178800,-0.13392,0.20191,-0.640216,1.3662,186,271,126,127
7895,-0.496373,3,21.7819,69.5566,1407178800,-0.0952383,0.64413,-0.559225,-1.21327,186,271,126,127
7896,-0.0847284,4,21.8972,69.9504,1407182400,-0.128069,0.20191,-0.0848468,-1.21327,186,271,126,127
7897,-7.90597,0,21.8972,69.9504,1407182400,0.0923202,0.703093,-0.131128,-0.783361,186,271,126,127
7898,-0.221943,1,21.8972,69.9504,1407182400,-0.10629,0.997907,-0.362531,-1.21327,186,271,126,127
7899,0.0524863,2,21.8972,69.9504,1407182400,-0.127094,0.231392,0.343251,-1.21327,186,271,126,127
7900,-0.496373,3,21.8972,69.9504,1407182400,-0.0900374,0.614649,-0.374102,0.0764631,186,271,126,127
7901,-0.221943,1,22.0194,70.3322,1407186000,-0.123843,0.879981,-0.547655,-1.21327,187,272,126,127
7902,0.0524863,2,22.0194,70.3322,1407186000,-0.123518,0.231392,0.620935,-0.568405,187,272,126,127
7903,-0.496373,3,22.0194,70.3322,1407186000,-0.0897123,0.614649,-0.212119,-1.21327,187,272,126,127
7904,-0.221943,4,22.0194,70.3322,1407186000,-0.111166,0.172429,0.32011,-0.568405,187,272,126,127
7905,-0.221943,4,22.1428,70.687,1407189600,-0.10434,0.142947,0.354821,-0.568405,187,273,126,127
7906,-0.221943,1,22.1428,70.687,1407189600,-0.118317,0.879981,-0.327821,-1.21327,187,273,126,127
7907,0.0524863,2,22.1428,70.687,1407189600,-0.065658,0.260873,0.89862,-0.568405,187,273,126,127
7908,-0.496373,3,22.1428,70.687,1407189600,-0.0887372,0.526205,-0.0154256,-0.568405,187,273,126,127
