Row ID,Battery Life,Beach Name,TSNE-0,TSNE-1,Measurement Timestamp,Turbidity,Water Temperature,Wave Height,Wave Period,t_0_trx,t_1_trx,AscendingManifold,MorseSmaleManifold
20524,-0.359158,5,3.26537,-32.6738,1440000000,-0.137171,-1.47853,-0.28154,2.65594,154,93,20,21
20525,0.0524863,4,3.26537,-32.6738,1440000000,1.01093,-0.977344,-0.605506,3.3008,154,93,20,21
20526,0.875775,0,3.26537,-32.6738,1440000000,-0.136196,-1.21319,-1.17245,-0.568405,154,93,20,21
20527,1.01299,1,3.26537,-32.6738,1440000000,-0.107265,-0.328754,-0.593935,-0.568405,154,93,20,21
20528,1.1502,2,3.26537,-32.6738,1440000000,-0.147248,-1.06579,-0.825339,3.3008,154,93,20,21
20529,-0.359158,3,3.26537,-32.6738,1440000000,-0.108891,0.673612,-0.813769,0.0764631,154,93,20,21
20530,0.0524863,4,2.97546,-32.9737,1440003600,1.31031,-0.829937,-0.628646,-0.568405,153,92,20,21
20531,0.875775,0,2.97546,-32.9737,1440003600,-0.13522,-1.33112,-1.20716,1.3662,153,92,20,21
20532,1.1502,2,2.97546,-32.9737,1440003600,-0.148223,-1.21319,-0.732778,2.65594,153,92,20,21
20533,1.01299,1,2.97546,-32.9737,1440003600,-0.128069,-0.564605,-0.790629,-1.21327,153,92,20,21
20534,-0.359158,3,2.97546,-32.9737,1440003600,-0.113117,0.555686,-0.906331,-0.568405,153,92,20,21
20535,-0.359158,5,2.97546,-32.9737,1440003600,-0.137821,-1.62593,-0.2584,3.94567,153,92,20,21
20536,0.875775,0,2.64267,-33.3049,1440007200,-0.134895,-1.44905,-1.18402,2.65594,153,92,20,21
20537,1.01299,1,2.64267,-33.3049,1440007200,-0.120268,-0.68253,-0.674927,-1.21327,153,92,20,21
20538,1.01299,2,2.64267,-33.3049,1440007200,-0.147248,-1.39008,-0.813769,3.3008,153,92,20,21
20539,-0.359158,3,2.64267,-33.3049,1440007200,-0.117017,0.496724,-0.779059,-0.568405,153,92,20,21
20540,0.0524863,4,2.64267,-33.3049,1440007200,1.2206,-0.977344,-0.651786,2.01107,153,92,20,21
20541,0.875775,0,2.29017,-33.6492,1440010800,-0.13457,-1.59645,-1.13773,3.3008,152,91,20,21
20542,1.01299,1,2.29017,-33.6492,1440010800,-0.135546,-0.800456,-0.88319,-1.21327,152,91,20,21
20543,1.01299,2,2.29017,-33.6492,1440010800,-0.146272,-1.41956,-0.570795,2.01107,152,91,20,21
20544,-0.496373,3,2.29017,-33.6492,1440010800,-0.117992,0.526205,-0.88319,-1.21327,152,91,20,21
20545,-0.359158,5,2.29017,-33.6492,1440010800,-0.138471,-1.71438,-0.350961,3.3008,152,91,20,21
20546,0.0524863,4,2.29017,-33.6492,1440010800,1.08505,-1.06579,-0.593935,0.0764631,152,91,20,21
20547,-0.359158,5,1.95439,-33.9775,1440014400,-0.138146,-1.71438,-0.0732766,2.65594,152,91,20,21
20548,0.875775,0,1.95439,-33.9775,1440014400,-0.133595,-1.59645,-1.10302,2.01107,152,91,20,21
20549,1.01299,1,1.95439,-33.9775,1440014400,-0.13327,-0.859418,-1.01046,2.65594,152,91,20,21
20550,1.01299,2,1.95439,-33.9775,1440014400,-0.148873,-1.50801,-0.628646,3.3008,152,91,20,21
20551,-0.359158,3,1.95439,-33.9775,1440014400,-0.117017,0.496724,-0.86005,0.0764631,152,91,20,21
20552,0.0524863,4,1.95439,-33.9775,1440014400,1.113,-1.18371,-0.640216,3.3008,152,91,20,21
20553,0.875775,0,1.59588,-34.3311,1440018000,-0.134895,-1.65541,-1.10302,2.65594,151,90,20,21
20554,1.01299,1,1.59588,-34.3311,1440018000,-0.134245,-0.918381,-0.952612,-1.21327,151,90,20,21
20555,1.01299,2,1.59588,-34.3311,1440018000,-0.148873,-1.56697,-0.686497,2.01107,151,90,20,21
20556,-0.359158,3,1.59588,-34.3311,1440018000,-0.113767,0.467242,-0.87162,-0.568405,151,90,28,29
20557,0.0524863,4,1.59588,-34.3311,1440018000,1.25895,-1.12475,-0.663357,0.0764631,151,90,28,29
20558,-0.496373,5,1.24708,-34.684,1440021600,-0.138146,-1.6849,-0.0732766,3.3008,150,89,28,29
20559,0.0524863,4,1.24708,-34.684,1440021600,1.23197,-1.15423,-0.698067,-0.568405,150,89,28,29
20560,0.875775,0,1.24708,-34.684,1440021600,-0.134245,-1.6849,-1.09145,2.01107,150,89,28,29
20561,1.01299,1,1.24708,-34.684,1440021600,-0.132295,-0.977344,-0.964182,3.3008,150,89,28,29
20562,1.01299,2,1.24708,-34.684,1440021600,-0.148873,-1.62593,-0.744348,-0.568405,150,89,28,29
20563,-0.496373,3,1.24708,-34.684,1440021600,-0.112791,0.437761,-0.501374,-0.568405,150,89,28,29
20564,0.0524863,4,0.940343,-35.0085,1440025200,1.0948,-1.15423,-0.767488,3.94567,150,89,28,29
20565,0.875775,0,0.940343,-35.0085,1440025200,-0.115067,-1.71438,-1.06831,0.721331,150,89,28,29
20566,1.01299,1,0.940343,-35.0085,1440025200,-0.132945,-1.06579,-0.906331,-1.21327,150,89,28,29
20567,1.01299,2,0.940343,-35.0085,1440025200,-0.148873,-1.65541,-0.732778,2.65594,150,89,28,29
20568,-0.359158,3,0.940343,-35.0085,1440025200,-0.111491,0.378798,-1.12616,-1.21327,150,89,28,29
20569,-0.496373,5,0.940343,-35.0085,1440025200,-0.138146,-1.71438,-0.223689,-0.568405,150,89,28,29
20570,0.875775,0,0.620057,-35.3676,1440028800,-0.135546,-1.71438,-1.1493,0.721331,149,88,28,29
