,Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Wave Height,Wave Period,Battery Life,UMAP-0,UMAP-1,u_0_trx,u_1_trx,AscendingManifold,MorseSmaleManifold
0,2,1434139200,-1.051006328,-0.214436445,1.96661724,1.603567451,-1.58113883,13.009689,5.217385,212,156,7,8
1,3,1528113600,0.778870761,-0.47387807,-0.239323791,0.267261242,1.423024947,15.943619,5.15965,235,156,7,8
2,3,1560607200,-0.910246552,-0.616835699,-0.801214431,0.267261242,0.158113883,15.626643,3.7796013,233,145,7,8
3,4,1439841600,1.529589566,1.974933184,-0.416215289,-1.069044968,-0.474341649,14.354093,5.846423,223,161,7,8
4,5,1441720800,-0.347207448,-0.66978297,-0.509863729,-1.069044968,0.474341649,14.000815,4.2047358,220,148,7,8
