Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Transducer Depth,Wave Height,Wave Period,Battery Life,Measurement Timestamp Label,Measurement ID
Ohio Street Beach,6/4/2018 12:00,19.3,2.96,,0.157,4,12.5,6/4/2018 12:00,OhioStreetBeach201806041200
Ohio Street Beach,6/15/2019 14:00,15.7,1.34,,0.103,4,11.7,6/15/2019 14:00,OhioStreetBeach201906151400
Montrose Beach,6/12/2015 20:00,15.4,5.9,,0.369,5,10.6,6/12/2015 20:00,MontroseBeach201506122000
Osterman Beach,8/17/2015 20:00,20.9,30.71,,0.14,3,11.3,8/17/2015 20:00,OstermanBeach201508172000
Rainbow Beach,9/8/2015 14:00,16.9,0.74,,0.131,3,11.9,9/8/2015 14:00,RainbowBeach201509081400
Ohio Street Beach,5/15/2020 15:00,23.1,0.37,,-99999.992,-100000,10.9,5/15/2020 15:00,OhioStreetBeach202005151500
Ohio Street Beach,5/15/2020 18:00,22.5,0.36,,-99999.992,-100000,11.5,5/15/2020 18:00,OhioStreetBeach202005151800
Ohio Street Beach,5/15/2020 19:00,100,0.36,,-99999.992,-100000,-34,5/15/2020 19:00,OhioStreetBeach202005151900
