WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,Date
999,2.6,3.1,99.0,99.0,99.0,999,9999.0,14.9,999.0,999.0,99.0,99.0,2019/01/01 0000
999,1.5,2.1,99.0,99.0,99.0,999,9999.0,15.0,999.0,999.0,99.0,99.0,2019/01/01 0100
999,2.1,3.1,99.0,99.0,99.0,999,9999.0,14.7,999.0,999.0,99.0,99.0,2019/01/01 0200
999,1.5,2.6,99.0,99.0,99.0,999,9999.0,14.7,999.0,999.0,99.0,99.0,2019/01/01 0300
999,1.5,2.6,99.0,99.0,99.0,999,9999.0,14.8,999.0,999.0,99.0,99.0,2019/01/01 0400
999,0.5,1.0,99.0,99.0,99.0,999,9999.0,14.5,999.0,999.0,99.0,99.0,2019/01/01 0500
999,4.6,5.1,99.0,99.0,99.0,999,9999.0,14.5,999.0,999.0,99.0,99.0,2019/01/01 0600
999,0.0,1.0,99.0,99.0,99.0,999,9999.0,14.7,999.0,999.0,99.0,99.0,2019/01/01 0700
999,1.0,1.5,99.0,99.0,99.0,999,9999.0,14.8,999.0,999.0,99.0,99.0,2019/01/01 0800
999,1.0,2.1,99.0,99.0,99.0,999,9999.0,14.9,999.0,999.0,99.0,99.0,2019/01/01 0900
999,2.6,3.1,99.0,99.0,99.0,999,9999.0,15.0,999.0,999.0,99.0,99.0,2019/01/01 1000
999,1.5,3.6,99.0,99.0,99.0,999,9999.0,14.8,999.0,999.0,99.0,99.0,2019/01/01 1100
999,4.1,5.1,99.0,99.0,99.0,999,9999.0,14.8,999.0,999.0,99.0,99.0,2019/01/01 1200
999,5.1,6.2,99.0,99.0,99.0,999,9999.0,14.7,999.0,999.0,99.0,99.0,2019/01/01 1300
999,4.6,5.7,99.0,99.0,99.0,999,9999.0,14.8,999.0,999.0,99.0,99.0,2019/01/01 1400
999,4.6,6.2,99.0,99.0,99.0,999,9999.0,14.9,999.0,999.0,99.0,99.0,2019/01/01 1500
999,5.1,6.2,99.0,99.0,99.0,999,9999.0,14.8,999.0,999.0,99.0,99.0,2019/01/01 1600
999,4.6,5.1,99.0,99.0,99.0,999,9999.0,15.2,999.0,999.0,99.0,99.0,2019/01/01 1700
999,2.6,3.6,99.0,99.0,99.0,999,9999.0,15.2,999.0,999.0,99.0,99.0,2019/01/01 1800
999,3.6,4.6,99.0,99.0,99.0,999,9999.0,15.4,999.0,999.0,99.0,99.0,2019/01/01 1900
999,4.1,5.1,99.0,99.0,99.0,999,9999.0,15.8,999.0,999.0,99.0,99.0,2019/01/01 2000
999,5.1,5.7,99.0,99.0,99.0,999,9999.0,16.5,999.0,999.0,99.0,99.0,2019/01/01 2100
999,5.1,6.2,99.0,99.0,99.0,999,9999.0,16.7,999.0,999.0,99.0,99.0,2019/01/01 2200
999,6.7,7.2,99.0,99.0,99.0,999,9999.0,16.8,999.0,999.0,99.0,99.0,2019/01/01 2300
999,5.7,6.2,99.0,99.0,99.0,999,9999.0,16.2,999.0,999.0,99.0,99.0,2019/01/02 0000
999,5.7,6.7,99.0,99.0,99.0,999,9999.0,16.3,999.0,999.0,99.0,99.0,2019/01/02 0100
