,WSPD,GST,ATMP,Date,Original_Data,UMAP-0,UMAP-1
0,-1.396686044651711,-1.4614121352367235,-2.3178632363984426,1577836800.0,2020-01-01 00:00:00,15.5966215,1.6430712
1,-0.34363525147822915,-0.43447387804335014,-2.3178632363984426,1577840400.0,2020-01-01 01:00:00,15.480872,1.9372557
2,-0.5542454101129256,-0.43447387804335014,-2.3499411238666617,1577844000.0,2020-01-01 02:00:00,15.512262,1.9133828
3,-0.9754657273823183,-1.0664358824700415,-2.3820190113348807,1577847600.0,2020-01-01 03:00:00,15.638091,1.6353986
4,-1.8600283936480433,-1.8563883880034053,-2.4461747862713183,1577851200.0,2020-01-01 04:00:00,15.516995,1.352757
5,-1.8600283936480433,-1.8563883880034053,-2.4140968988030993,1577854800.0,2020-01-01 05:00:00,15.61814,0.9440828
6,-1.396686044651711,-1.4614121352367235,-2.4140968988030993,1577858400.0,2020-01-01 06:00:00,15.589077,0.75017124
7,-1.1860758860170146,-1.2639240088533825,-2.478252673739538,1577862000.0,2020-01-01 07:00:00,15.620896,0.40164852
8,-1.6494182350133468,-1.8563883880034053,-2.510330561207757,1577865600.0,2020-01-01 08:00:00,15.621983,0.005551811
9,-1.6494182350133468,-1.6589002616200643,-2.6065642236124136,1577869200.0,2020-01-01 09:00:00,15.618653,-0.3917765
10,-2.281248710917436,-2.290862266046756,-2.638642111080633,1577872800.0,2020-01-01 10:00:00,15.5793,-0.7963924
11,-1.1860758860170146,-1.4614121352367235,-2.638642111080633,1577876400.0,2020-01-01 11:00:00,15.5427065,-1.1912819
12,-1.1860758860170146,-1.4614121352367235,-2.6065642236124136,1577880000.0,2020-01-01 12:00:00,15.386672,-1.625605
13,-0.34363525147822915,-0.6714596297033596,-2.638642111080633,1577883600.0,2020-01-01 13:00:00,15.651059,-1.620684
14,-0.13302509284353276,-0.43447387804335014,-2.6707199985488517,1577887200.0,2020-01-01 14:00:00,15.742539,-1.9876183
15,-0.13302509284353276,-0.43447387804335014,-2.638642111080633,1577890800.0,2020-01-01 15:00:00,15.926217,-2.329948
16,0.11970709751810318,-0.039497625276668065,-2.6707199985488517,1577894400.0,2020-01-01 16:00:00,16.077784,-2.6656039
17,0.5409274147874961,0.15799050110667295,-2.6707199985488517,1577898000.0,2020-01-01 17:00:00,16.262491,-2.947708
18,0.3303172561527996,0.15799050110667295,-2.7027978860170707,1577901600.0,2020-01-01 18:00:00,16.644545,-3.3434048
19,0.11970709751810318,-0.2369857516600091,-2.6707199985488517,1577905200.0,2020-01-01 19:00:00,16.717995,-3.40188
20,0.3303172561527996,-0.039497625276668065,-2.5424084486759755,1577908800.0,2020-01-01 20:00:00,17.070335,-3.6974027
21,-0.13302509284353276,-0.43447387804335014,-2.3499411238666617,1577912400.0,2020-01-01 21:00:00,17.433313,-3.7347822
22,-0.13302509284353276,-0.2369857516600091,-2.3499411238666617,1577916000.0,2020-01-01 22:00:00,17.650225,-3.8680146
23,0.7515375734221924,0.5529667538733547,-2.3499411238666617,1577919600.0,2020-01-01 23:00:00,17.940483,-3.724634
24,0.7515375734221924,0.5529667538733547,-2.3178632363984426,1577923200.0,2020-01-02 00:00:00,18.159826,-3.4903858
25,1.172757890691585,1.1849287583000465,-2.2857853489302236,1577926800.0,2020-01-02 01:00:00,18.363531,-3.0711527
26,1.4254900810532212,1.1849287583000465,-2.2857853489302236,1577930400.0,2020-01-02 02:00:00,18.433842,-2.905057
27,1.6361002396879176,1.5799050110667285,-2.4461747862713183,1577934000.0,2020-01-02 03:00:00,18.449043,-2.5104015
28,2.2679307155920068,2.2118670154934197,-2.6065642236124136,1577937600.0,2020-01-02 04:00:00,18.474834,-2.3163276
29,1.4254900810532212,1.5799050110667285,-2.4140968988030993,1577941200.0,2020-01-02 05:00:00,18.405989,-2.1972666
30,1.4254900810532212,1.1849287583000465,-2.5744863361441945,1577944800.0,2020-01-02 06:00:00,18.400896,-1.846818
31,0.5409274147874961,0.9874406319167055,-2.2857853489302236,1577952000.0,2020-01-02 08:00:00,18.500647,-1.4975406
32,1.172757890691585,1.1849287583000465,-1.9970843617162528,1577955600.0,2020-01-02 09:00:00,18.47146,-1.1995128
33,1.4254900810532212,1.3824168846833875,-1.2592929499472154,1577959200.0,2020-01-02 10:00:00,18.767242,-0.90750617
34,1.4254900810532212,1.3824168846833875,-0.7781246379239302,1577962800.0,2020-01-02 11:00:00,18.95934,-0.738895
35,-0.7648555687476218,0.15799050110667295,-0.842280412860368,1577966400.0,2020-01-02 12:00:00,19.207464,-0.65530634
36,-0.5542454101129256,-0.2369857516600091,-0.6177352005828352,1577970000.0,2020-01-02 13:00:00,19.426775,-0.41537824
37,-0.7648555687476218,-0.2369857516600091,-0.7139688629874924,1577973600.0,2020-01-02 14:00:00,19.56643,-0.2613018
38,0.11970709751810318,0.15799050110667295,-0.6498130880510546,1577977200.0,2020-01-02 15:00:00,19.756765,0.15613481
39,-0.7648555687476218,-0.43447387804335014,-0.6498130880510546,1577980800.0,2020-01-02 16:00:00,19.763088,0.40932676
40,-0.5542454101129256,-0.43447387804335014,-0.5856573131146157,1577984400.0,2020-01-02 17:00:00,19.7879,0.74079436
41,0.5409274147874961,0.7899525055333645,-0.6177352005828352,1577988000.0,2020-01-02 18:00:00,19.806887,0.94348556
42,0.11970709751810318,0.15799050110667295,-0.008255338686674479,1577991600.0,2020-01-02 19:00:00,19.846643,1.272745
43,0.11970709751810318,-0.2369857516600091,0.05590043624976445,1577995200.0,2020-01-02 20:00:00,19.907001,1.5461624
