WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,Date
999,5.7,7.7,99.0,99.0,99.0,999,9999.0,15.7,999.0,999.0,99.0,99.0,2020/01/03 0600
999,5.1,6.7,99.0,99.0,99.0,999,9999.0,15.5,999.0,999.0,99.0,99.0,2020/01/03 0700
999,4.6,5.7,99.0,99.0,99.0,999,9999.0,15.6,999.0,999.0,99.0,99.0,2020/01/03 0800
999,5.1,7.2,99.0,99.0,99.0,999,9999.0,15.4,999.0,999.0,99.0,99.0,2020/01/03 0900
999,3.6,4.6,99.0,99.0,99.0,999,9999.0,15.1,999.0,999.0,99.0,99.0,2020/01/03 1000
999,3.1,3.6,99.0,99.0,99.0,999,9999.0,15.4,999.0,999.0,99.0,99.0,2020/01/03 1100
999,2.1,3.6,99.0,99.0,99.0,999,9999.0,14.9,999.0,999.0,99.0,99.0,2020/01/03 1200
999,3.6,4.1,99.0,99.0,99.0,999,9999.0,14.6,999.0,999.0,99.0,99.0,2020/01/03 1300
999,4.1,5.7,99.0,99.0,99.0,999,9999.0,14.1,999.0,999.0,99.0,99.0,2020/01/03 1500
999,4.6,5.7,99.0,99.0,99.0,999,9999.0,13.9,999.0,999.0,99.0,99.0,2020/01/03 1600
999,4.6,6.2,99.0,99.0,99.0,999,9999.0,13.4,999.0,999.0,99.0,99.0,2020/01/03 1700
999,5.7,6.7,99.0,99.0,99.0,999,9999.0,13.4,999.0,999.0,99.0,99.0,2020/01/03 1800
999,2.1,3.1,99.0,99.0,99.0,999,9999.0,13.8,999.0,999.0,99.0,99.0,2020/01/03 1900
999,3.6,4.1,99.0,99.0,99.0,999,9999.0,14.1,999.0,999.0,99.0,99.0,2020/01/03 2000
999,3.6,3.6,99.0,99.0,99.0,999,9999.0,15.0,999.0,999.0,99.0,99.0,2020/01/03 2100
999,0.0,0.5,99.0,99.0,99.0,999,9999.0,17.3,999.0,999.0,99.0,99.0,2020/01/03 2200
999,0.5,1.5,99.0,99.0,99.0,999,9999.0,16.5,999.0,999.0,99.0,99.0,2020/01/03 2300
999,1.0,2.1,99.0,99.0,99.0,999,9999.0,15.6,999.0,999.0,99.0,99.0,2020/01/04 0000
999,1.0,2.1,99.0,99.0,99.0,999,9999.0,15.4,999.0,999.0,99.0,99.0,2020/01/04 0100
999,2.6,4.1,99.0,99.0,99.0,999,9999.0,15.3,999.0,999.0,99.0,99.0,2020/01/04 0200
999,1.5,2.6,99.0,99.0,99.0,999,9999.0,15.5,999.0,999.0,99.0,99.0,2020/01/04 0300
999,2.6,3.1,99.0,99.0,99.0,999,9999.0,15.7,999.0,999.0,99.0,99.0,2020/01/04 0400
999,6.2,8.2,99.0,99.0,99.0,999,9999.0,16.1,999.0,999.0,99.0,99.0,2020/01/04 0500
999,8.2,10.8,99.0,99.0,99.0,999,9999.0,14.6,999.0,999.0,99.0,99.0,2020/01/04 0600
999,9.3,11.8,99.0,99.0,99.0,999,9999.0,13.9,999.0,999.0,99.0,99.0,2020/01/04 0700
999,9.8,12.4,99.0,99.0,99.0,999,9999.0,13.3,999.0,999.0,99.0,99.0,2020/01/04 0800
999,9.8,12.9,99.0,99.0,99.0,999,9999.0,12.7,999.0,999.0,99.0,99.0,2020/01/04 0900
999,7.7,10.8,99.0,99.0,99.0,999,9999.0,12.2,999.0,999.0,99.0,99.0,2020/01/04 1000
999,7.7,10.8,99.0,99.0,99.0,999,9999.0,11.8,999.0,999.0,99.0,99.0,2020/01/04 1100
999,7.7,10.3,99.0,99.0,99.0,999,9999.0,11.3,999.0,999.0,99.0,99.0,2020/01/04 1200
999,5.7,9.8,99.0,99.0,99.0,999,9999.0,10.5,999.0,999.0,99.0,99.0,2020/01/04 1300
999,5.7,9.8,99.0,99.0,99.0,999,9999.0,10.5,999.0,999.0,99.0,99.0,2020/03/04 1300
999,6.2,6.7,99.0,99.0,99.0,999,9999.0,19.1,999.0,999.0,99.0,99.0,2020/03/14 0500
999,5.7,6.7,99.0,99.0,99.0,999,9999.0,18.9,999.0,999.0,99.0,99.0,2020/03/14 0600
999,6.2,7.2,99.0,99.0,99.0,999,9999.0,19.0,999.0,999.0,99.0,99.0,2020/03/14 0700
999,6.2,6.7,99.0,99.0,99.0,999,9999.0,18.9,999.0,999.0,99.0,99.0,2020/03/14 0800
999,6.2,6.7,99.0,99.0,99.0,999,9999.0,18.8,999.0,999.0,99.0,99.0,2020/03/14 0900
999,6.2,7.2,99.0,99.0,99.0,999,9999.0,18.8,999.0,999.0,99.0,99.0,2020/03/14 1000
999,5.7,6.2,99.0,99.0,99.0,999,9999.0,18.6,999.0,999.0,99.0,99.0,2020/03/14 1100
999,4.6,5.1,99.0,99.0,99.0,999,9999.0,18.5,999.0,999.0,99.0,99.0,2020/03/14 1200
999,4.6,5.7,99.0,99.0,99.0,999,9999.0,18.6,999.0,999.0,99.0,99.0,2020/03/14 1300
999,6.2,7.2,99.0,99.0,99.0,999,9999.0,18.3,999.0,999.0,99.0,99.0,2020/03/14 1400
999,5.7,6.7,99.0,99.0,99.0,999,9999.0,17.7,999.0,999.0,99.0,99.0,2020/03/14 1500
999,5.1,6.2,99.0,99.0,99.0,999,9999.0,17.8,999.0,999.0,99.0,99.0,2020/03/14 1600
999,4.1,5.1,99.0,99.0,99.0,999,9999.0,18.1,999.0,999.0,99.0,99.0,2020/03/14 1700
999,3.6,4.1,99.0,99.0,99.0,999,9999.0,18.4,999.0,999.0,99.0,99.0,2020/03/14 1800
999,2.6,3.6,99.0,99.0,99.0,999,9999.0,18.2,999.0,999.0,99.0,99.0,2020/03/14 1900
