WSPD,GST,ATMP,Date,Original_Data,UMAP-0,UMAP-1
1.624749575,1.534906543,-0.39587201,1546545600,1/3/2019 20:00,15.26627,4.2071934
0.941208591,1.383626854,-0.29172637,1546549200,1/3/2019 21:00,15.328603,4.2232127
1.299253869,1.534906543,-0.50001765,1546552800,1/3/2019 22:00,15.162846,4.2427225
0.778460738,0.7785081,-0.583334162,1546556400,1/3/2019 23:00,15.379288,4.061519
2.112993136,2.321560924,-0.781210879,1546560000,1/4/2019 0:00,15.522939,4.0321593
-0.0678281,0.445692785,-0.833283699,1546563600,1/4/2019 1:00,15.694505,3.9072084
0.452965031,0.596972474,-0.843698263,1546567200,1/4/2019 2:00,15.810823,3.7713118
1.103956445,2.170281235,-0.885356519,1546570800,1/4/2019 3:00,15.97502,3.9406164
0.290217177,0.929787789,-0.947843903,1546574400,1/4/2019 4:00,16.120245,3.9419444
1.462001722,2.472840613,-0.958258467,1546578000,1/4/2019 5:00,16.182953,4.1543283
1.462001722,2.170281235,-1.176964312,1546581600,1/4/2019 6:00,16.325241,4.348688
0.941208591,1.867721858,-1.208208004,1546585200,1/4/2019 7:00,16.328798,4.4941015
0.778460738,2.170281235,-1.19779344,1546588800,1/4/2019 8:00,16.393318,4.7219124
1.299253869,2.624120301,-1.187378876,1546592400,1/4/2019 9:00,16.486523,4.8460975
0.778460738,1.534906543,-1.208208004,1546596000,1/4/2019 10:00,16.63126,5.017688
0.094919753,0.7785081,-1.260280824,1546599600,1/4/2019 11:00,16.72368,5.230786
0.778460738,1.232347166,-1.291524516,1546603200,1/4/2019 12:00,16.81238,5.504315
0.452965031,0.929787789,-1.270695388,1546606800,1/4/2019 13:00,16.883377,5.536814
0.452965031,1.081067477,-1.19779344,1546614000,1/4/2019 15:00,17.046143,5.707696
0.452965031,1.081067477,-1.135306055,1546617600,1/4/2019 16:00,16.954615,5.8709197
0.778460738,1.534906543,-1.104062363,1546621200,1/4/2019 17:00,17.218798,6.016047
0.941208591,1.383626854,-1.051989543,1546624800,1/4/2019 18:00,17.325888,6.2236795
1.787497429,1.867721858,-1.041574979,1546628400,1/4/2019 19:00,17.418167,6.385462
1.950245282,2.170281235,-1.010331287,1546632000,1/4/2019 20:00,17.45199,6.54333
1.103956445,1.534906543,-0.947843903,1546635600,1/4/2019 21:00,17.62201,6.721117
1.624749575,1.867721858,-0.968673031,1546639200,1/4/2019 22:00,17.708641,6.84788
0.941208591,1.232347166,-0.999916723,1546642800,1/4/2019 23:00,17.764114,6.9502034
-0.393323807,-0.008146281,-1.093647799,1546646400,1/5/2019 0:00,17.85168,7.1598125
0.094919753,0.143133408,-1.135306055,1546650000,1/5/2019 1:00,17.946505,7.3471713
-0.0678281,0.143133408,-1.135306055,1546653600,1/5/2019 2:00,17.983107,7.504262
-0.55607166,-0.340961596,-1.135306055,1546657200,1/5/2019 3:00,18.08714,7.6105685
-0.718819514,-0.643520973,-1.135306055,1546660800,1/5/2019 4:00,18.128122,7.784326
-0.55607166,-0.340961596,-1.124891491,1546664400,1/5/2019 5:00,18.107292,7.85773
-0.881567367,-0.794800662,-1.114476927,1546668000,1/5/2019 6:00,18.035244,7.9416747
-1.076864791,-1.097360039,-1.104062363,1546671600,1/5/2019 7:00,18.020428,7.9476457
-1.402360498,-1.430175354,-1.104062363,1546675200,1/5/2019 8:00,18.250803,7.8318667
-1.565108351,-1.581455043,-1.124891491,1546678800,1/5/2019 9:00,18.328516,7.651362
-1.239612645,-1.430175354,-1.124891491,1546682400,1/5/2019 10:00,18.482857,7.589982
-1.076864791,-1.430175354,-1.124891491,1546686000,1/5/2019 11:00,18.519924,7.4132643
-0.718819514,-0.946080351,-1.124891491,1546689600,1/5/2019 12:00,18.550234,7.2549148
-0.718819514,-1.097360039,-1.124891491,1546693200,1/5/2019 13:00,18.566063,7.049021
-0.718819514,-0.946080351,-1.041574979,1546696800,1/5/2019 14:00,18.612183,6.8922644
-0.881567367,-1.097360039,-0.958258467,1546700400,1/5/2019 15:00,18.50106,6.6837006
-1.239612645,-1.430175354,-0.885356519,1546704000,1/5/2019 16:00,18.4584,6.520784
-1.076864791,-1.248639728,-0.864527391,1546711200,1/5/2019 18:00,18.388754,6.2480283
-1.239612645,-1.248639728,-0.718723495,1546714800,1/5/2019 19:00,18.326073,6.1003995
-1.239612645,-1.097360039,-0.666650674,1546718400,1/5/2019 20:00,18.221798,5.9627833
-1.239612645,-1.097360039,-0.583334162,1546722000,1/5/2019 21:00,17.986578,5.727937
-1.076864791,-0.946080351,-0.624992418,1546725600,1/5/2019 22:00,17.75934,5.496261
-1.239612645,-1.248639728,-0.624992418,1546729200,1/5/2019 23:00,17.534323,5.3226476
-1.239612645,-1.248639728,-0.781210879,1546732800,1/6/2019 0:00,17.38139,5.043257
-1.239612645,-1.248639728,-0.781210879,1546736400,1/6/2019 1:00,17.18737,4.841676
-0.881567367,-1.097360039,-0.781210879,1546740000,1/6/2019 2:00,17.20388,4.5196595
-1.076864791,-0.946080351,-0.749967187,1546743600,1/6/2019 3:00,17.074205,4.364642
-1.239612645,-1.097360039,-0.708308931,1546747200,1/6/2019 4:00,17.168774,4.117942
-0.230575953,-0.15942597,-0.666650674,1546750800,1/6/2019 5:00,17.177294,3.895193
-0.0678281,-0.340961596,-0.645821546,1546754400,1/6/2019 6:00,17.289785,3.7276354
-0.55607166,-0.946080351,-0.65623611,1546758000,1/6/2019 7:00,17.341875,3.408711
-0.718819514,-0.946080351,-0.65623611,1546761600,1/6/2019 8:00,17.594807,3.2952726
-1.565108351,-1.732734732,-0.812454571,1546765200,1/6/2019 9:00,17.772799,3.0678797
-1.239612645,-1.430175354,-0.843698263,1546768800,1/6/2019 10:00,17.929808,2.823537
-0.718819514,-0.946080351,-0.874941955,1546772400,1/6/2019 11:00,18.017233,2.4858866
-0.393323807,-0.643520973,-0.895771083,1546776000,1/6/2019 12:00,18.027641,2.222944
-0.55607166,-0.794800662,-0.906185647,1546779600,1/6/2019 13:00,18.062746,1.9334867
-0.230575953,-0.492241285,-0.874941955,1546783200,1/6/2019 14:00,18.05826,1.5807568
0.094919753,-0.15942597,-0.843698263,1546786800,1/6/2019 15:00,18.1386,1.2302736
-0.230575953,-0.492241285,-0.833283699,1546790400,1/6/2019 16:00,18.068007,0.86823845
-0.230575953,-0.492241285,-0.843698263,1546794000,1/6/2019 17:00,18.027048,0.52668357
-0.230575953,-0.492241285,-0.822869135,1546797600,1/6/2019 18:00,17.989498,0.27514866
-0.393323807,-0.794800662,-0.781210879,1546801200,1/6/2019 19:00,17.982855,0.021240383
-0.393323807,-0.794800662,-0.760381751,1546804800,1/6/2019 20:00,17.973736,-0.3165306
-0.0678281,-0.340961596,-0.749967187,1546808400,1/6/2019 21:00,17.958836,-0.6651335
0.094919753,-0.008146281,-0.718723495,1546812000,1/6/2019 22:00,17.973072,-0.92390966
0.094919753,-0.15942597,-0.697894366,1546815600,1/6/2019 23:00,17.997356,-1.1945591
-0.0678281,-0.340961596,-0.677065238,1546819200,1/7/2019 0:00,17.947153,-1.5243794
-0.0678281,-0.340961596,-0.677065238,1546822800,1/7/2019 1:00,18.024828,-1.6606591
0.094919753,-0.340961596,-0.677065238,1546826400,1/7/2019 2:00,18.067436,-1.8850007
0.452965031,-0.008146281,-0.708308931,1546830000,1/7/2019 3:00,18.025452,-2.0931582
0.290217177,-0.008146281,-0.687479802,1546833600,1/7/2019 4:00,18.130302,-2.3558192
0.094919753,-0.15942597,-0.697894366,1546837200,1/7/2019 5:00,18.182337,-2.5968657
0.290217177,-0.008146281,-0.697894366,1546840800,1/7/2019 6:00,18.277674,-2.8543658
-0.0678281,-0.492241285,-0.687479802,1546844400,1/7/2019 7:00,18.355528,-3.0557504
0.094919753,-0.340961596,-0.697894366,1546848000,1/7/2019 8:00,18.430756,-3.338409
-0.0678281,-0.340961596,-0.677065238,1546851600,1/7/2019 9:00,18.412224,-3.557549
0.452965031,0.143133408,-0.624992418,1546855200,1/7/2019 10:00,18.45425,-3.8433795
0.094919753,-0.15942597,-0.624992418,1546858800,1/7/2019 11:00,18.508749,-4.081504
-0.0678281,-0.340961596,-0.593748726,1546862400,1/7/2019 12:00,18.417543,-4.229088
-0.393323807,-0.643520973,-0.55209047,1546866000,1/7/2019 13:00,18.550364,-4.4295883
-1.076864791,-1.248639728,-0.562505034,1546869600,1/7/2019 14:00,18.59184,-4.572911
-1.239612645,-1.430175354,-0.34379919,1546873200,1/7/2019 15:00,18.683193,-4.7068744
-1.565108351,-1.248639728,-0.385457446,1546876800,1/7/2019 16:00,18.753523,-4.8615713
-1.076864791,-1.097360039,-0.510432214,1546880400,1/7/2019 17:00,18.833815,-5.0236297
-0.881567367,-1.097360039,-0.510432214,1546884000,1/7/2019 18:00,18.91091,-5.1878924
