#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
2020 01 03 05 00 999  1.5  2.1 99.00 99.00 99.00 999 9999.0  15.7 999.0 999.0 99.0 99.00
2020 01 03 06 00 999  5.7  7.7 99.00 99.00 99.00 999 9999.0  15.7 999.0 999.0 99.0 99.00
2020 01 03 07 00 999  5.1  6.7 99.00 99.00 99.00 999 9999.0  15.5 999.0 999.0 99.0 99.00
2020 01 03 08 00 999  4.6  5.7 99.00 99.00 99.00 999 9999.0  15.6 999.0 999.0 99.0 99.00
2020 01 03 09 00 999  5.1  7.2 99.00 99.00 99.00 999 9999.0  15.4 999.0 999.0 99.0 99.00
2020 01 03 10 00 999  3.6  4.6 99.00 99.00 99.00 999 9999.0  15.1 999.0 999.0 99.0 99.00
2020 01 03 11 00 999  3.1  3.6 99.00 99.00 99.00 999 9999.0  15.4 999.0 999.0 99.0 99.00
2020 01 03 12 00 999  2.1  3.6 99.00 99.00 99.00 999 9999.0  14.9 999.0 999.0 99.0 99.00
2020 01 03 13 00 999  3.6  4.1 99.00 99.00 99.00 999 9999.0  14.6 999.0 999.0 99.0 99.00
2020 01 03 15 00 999  4.1  5.7 99.00 99.00 99.00 999 9999.0  14.1 999.0 999.0 99.0 99.00
2020 01 03 16 00 999  4.6  5.7 99.00 99.00 99.00 999 9999.0  13.9 999.0 999.0 99.0 99.00
2020 01 03 17 00 999  4.6  6.2 99.00 99.00 99.00 999 9999.0  13.4 999.0 999.0 99.0 99.00
2020 01 03 18 00 999  5.7  6.7 99.00 99.00 99.00 999 9999.0  13.4 999.0 999.0 99.0 99.00
2020 01 03 19 00 999  2.1  3.1 99.00 99.00 99.00 999 9999.0  13.8 999.0 999.0 99.0 99.00
2020 01 03 20 00 999  3.6  4.1 99.00 99.00 99.00 999 9999.0  14.1 999.0 999.0 99.0 99.00
2020 01 03 21 00 999  3.6  3.6 99.00 99.00 99.00 999 9999.0  15.0 999.0 999.0 99.0 99.00
2020 01 03 22 00 999  0.0  0.5 99.00 99.00 99.00 999 9999.0  17.3 999.0 999.0 99.0 99.00
2020 01 03 23 00 999  0.5  1.5 99.00 99.00 99.00 999 9999.0  16.5 999.0 999.0 99.0 99.00
2020 01 04 00 00 999  1.0  2.1 99.00 99.00 99.00 999 9999.0  15.6 999.0 999.0 99.0 99.00
2020 01 04 01 00 999  1.0  2.1 99.00 99.00 99.00 999 9999.0  15.4 999.0 999.0 99.0 99.00
2020 01 04 02 00 999  2.6  4.1 99.00 99.00 99.00 999 9999.0  15.3 999.0 999.0 99.0 99.00
2020 01 04 03 00 999  1.5  2.6 99.00 99.00 99.00 999 9999.0  15.5 999.0 999.0 99.0 99.00
2020 01 04 04 00 999  2.6  3.1 99.00 99.00 99.00 999 9999.0  15.7 999.0 999.0 99.0 99.00
2020 01 04 05 00 999  6.2  8.2 99.00 99.00 99.00 999 9999.0  16.1 999.0 999.0 99.0 99.00
2020 01 04 06 00 999  8.2 10.8 99.00 99.00 99.00 999 9999.0  14.6 999.0 999.0 99.0 99.00
2020 01 04 07 00 999  9.3 11.8 99.00 99.00 99.00 999 9999.0  13.9 999.0 999.0 99.0 99.00
2020 01 04 08 00 999  9.8 12.4 99.00 99.00 99.00 999 9999.0  13.3 999.0 999.0 99.0 99.00
2020 01 04 09 00 999  9.8 12.9 99.00 99.00 99.00 999 9999.0  12.7 999.0 999.0 99.0 99.00
2020 01 04 10 00 999  7.7 10.8 99.00 99.00 99.00 999 9999.0  12.2 999.0 999.0 99.0 99.00
2020 01 04 11 00 999  7.7 10.8 99.00 99.00 99.00 999 9999.0  11.8 999.0 999.0 99.0 99.00
2020 01 04 12 00 999  7.7 10.3 99.00 99.00 99.00 999 9999.0  11.3 999.0 999.0 99.0 99.00
2020 01 04 13 00 999  5.7  9.8 99.00 99.00 99.00 999 9999.0  10.5 999.0 999.0 99.0 99.00
2020 03 04 13 00 999  5.7  9.8 99.00 99.00 99.00 999 9999.0  10.5 999.0 999.0 99.0 99.00
2020 03 14 05 00 999  6.2  6.7 99.00 99.00 99.00 999 9999.0  19.1 999.0 999.0 99.0 99.00
2020 03 14 06 00 999  5.7  6.7 99.00 99.00 99.00 999 9999.0  18.9 999.0 999.0 99.0 99.00
2020 03 14 07 00 999  6.2  7.2 99.00 99.00 99.00 999 9999.0  19.0 999.0 999.0 99.0 99.00
2020 03 14 08 00 999  6.2  6.7 99.00 99.00 99.00 999 9999.0  18.9 999.0 999.0 99.0 99.00
2020 03 14 09 00 999  6.2  6.7 99.00 99.00 99.00 999 9999.0  18.8 999.0 999.0 99.0 99.00
2020 03 14 10 00 999  6.2  7.2 99.00 99.00 99.00 999 9999.0  18.8 999.0 999.0 99.0 99.00
2020 03 14 11 00 999  5.7  6.2 99.00 99.00 99.00 999 9999.0  18.6 999.0 999.0 99.0 99.00
2020 03 14 12 00 999  4.6  5.1 99.00 99.00 99.00 999 9999.0  18.5 999.0 999.0 99.0 99.00
2020 03 14 13 00 999  4.6  5.7 99.00 99.00 99.00 999 9999.0  18.6 999.0 999.0 99.0 99.00
2020 03 14 14 00 999  6.2  7.2 99.00 99.00 99.00 999 9999.0  18.3 999.0 999.0 99.0 99.00
2020 03 14 15 00 999  5.7  6.7 99.00 99.00 99.00 999 9999.0  17.7 999.0 999.0 99.0 99.00
2020 03 14 16 00 999  5.1  6.2 99.00 99.00 99.00 999 9999.0  17.8 999.0 999.0 99.0 99.00
2020 03 14 17 00 999  4.1  5.1 99.00 99.00 99.00 999 9999.0  18.1 999.0 999.0 99.0 99.00
2020 03 14 18 00 999  3.6  4.1 99.00 99.00 99.00 999 9999.0  18.4 999.0 999.0 99.0 99.00
2020 03 14 19 00 999  2.6  3.6 99.00 99.00 99.00 999 9999.0  18.2 999.0 999.0 99.0 99.00
2020 03 14 20 00 999  3.6  3.6 99.00 99.00 99.00 999 9999.0  18.8 999.0 999.0 99.0 99.00
2020 03 14 21 00 999  4.1  4.6 99.00 99.00 99.00 999 9999.0  18.7 999.0 999.0 99.0 99.00
2020 03 14 22 00 999  4.6  5.1 99.00 99.00 99.00 999 9999.0  18.4 999.0 999.0 99.0 99.00
2020 03 14 23 00 999  4.6  5.1 99.00 99.00 99.00 999 9999.0  18.1 999.0 999.0 99.0 99.00
2020 03 15 00 00 999  5.7  6.2 99.00 99.00 99.00 999 9999.0  17.9 999.0 999.0 99.0 99.00
2020 03 15 01 00 999  5.7  6.7 99.00 99.00 99.00 999 9999.0  17.5 999.0 999.0 99.0 99.00
2020 03 15 02 00 999  6.2  6.7 99.00 99.00 99.00 999 9999.0  17.5 999.0 999.0 99.0 99.00
2020 03 15 03 00 999  5.1  5.1 99.00 99.00 99.00 999 9999.0  17.8 999.0 999.0 99.0 99.00
2020 03 15 04 00 999  5.7  6.2 99.00 99.00 99.00 999 9999.0  18.8 999.0 999.0 99.0 99.00
2020 03 15 05 00 999  8.2  8.8 99.00 99.00 99.00 999 9999.0  19.8 999.0 999.0 99.0 99.00
2020 03 15 06 00 999  7.2  8.2 99.00 99.00 99.00 999 9999.0  19.4 999.0 999.0 99.0 99.00
2020 03 15 07 00 999  8.2  9.3 99.00 99.00 99.00 999 9999.0  19.2 999.0 999.0 99.0 99.00
2020 03 15 08 00 999  6.2  7.2 99.00 99.00 99.00 999 9999.0  19.2 999.0 999.0 99.0 99.00
2020 03 15 09 00 999  4.6  5.7 99.00 99.00 99.00 999 9999.0  19.1 999.0 999.0 99.0 99.00
2020 03 15 10 00 999  0.0  1.5 99.00 99.00 99.00 999 9999.0  19.2 999.0 999.0 99.0 99.00
2020 03 15 11 00 999  1.5  2.1 99.00 99.00 99.00 999 9999.0  19.4 999.0 999.0 99.0 99.00
2020 03 15 12 00 999  1.0  1.5 99.00 99.00 99.00 999 9999.0  19.5 999.0 999.0 99.0 99.00
2020 03 15 13 00 999  2.6  2.6 99.00 99.00 99.00 999 9999.0  19.5 999.0 999.0 99.0 99.00
2020 03 15 14 00 999  3.6  3.6 99.00 99.00 99.00 999 9999.0  20.0 999.0 999.0 99.0 99.00
2020 03 15 15 00 999  3.6  3.6 99.00 99.00 99.00 999 9999.0  20.1 999.0 999.0 99.0 99.00
2020 03 15 16 00 999  4.6  5.1 99.00 99.00 99.00 999 9999.0  19.6 999.0 999.0 99.0 99.00
2020 03 15 17 00 999  3.6  4.1 99.00 99.00 99.00 999 9999.0  19.4 999.0 999.0 99.0 99.00
2020 03 15 18 00 999  3.1  3.6 99.00 99.00 99.00 999 9999.0  19.6 999.0 999.0 99.0 99.00
2020 03 15 19 00 999  3.1  3.6 99.00 99.00 99.00 999 9999.0  20.2 999.0 999.0 99.0 99.00
2020 03 15 20 00 999  4.1  4.6 99.00 99.00 99.00 999 9999.0  20.6 999.0 999.0 99.0 99.00
2020 03 15 21 00 999  3.6  4.1 99.00 99.00 99.00 999 9999.0  21.0 999.0 999.0 99.0 99.00
2020 03 15 22 00 999  3.1  3.1 99.00 99.00 99.00 999 9999.0  21.9 999.0 999.0 99.0 99.00
2020 03 15 23 00 999  2.1  3.1 99.00 99.00 99.00 999 9999.0  22.5 999.0 999.0 99.0 99.00
2020 03 16 00 00 999  4.6  5.7 99.00 99.00 99.00 999 9999.0  21.6 999.0 999.0 99.0 99.00
2020 03 16 01 00 999  5.1  5.7 99.00 99.00 99.00 999 9999.0  22.3 999.0 999.0 99.0 99.00
2020 03 16 02 00 999  4.1  4.6 99.00 99.00 99.00 999 9999.0  20.6 999.0 999.0 99.0 99.00
2020 03 16 03 00 999  3.6  4.1 99.00 99.00 99.00 999 9999.0  19.4 999.0 999.0 99.0 99.00
2020 03 16 04 00 999  5.1  5.1 99.00 99.00 99.00 999 9999.0  19.7 999.0 999.0 99.0 99.00
2020 03 16 05 00 999  3.1  3.6 99.00 99.00 99.00 999 9999.0  19.2 999.0 999.0 99.0 99.00
2020 03 16 06 00 999  3.6  4.1 99.00 99.00 99.00 999 9999.0  19.1 999.0 999.0 99.0 99.00
