Row ID,Battery Life,Beach Name,Component_0,Component_1,Component_2,Measurement Timestamp,Turbidity,UMAP-0,UMAP-1,Water Temperature,Wave Height,Wave Period
56,1,0,11.2968,-24.228,-19.0336,1402772400,0,5.63664,12.9802,-1,0,-1
57,1,0,10.8984,-24.6653,-18.8643,1402776000,0,3.11618,10.3309,-1,0,-1
58,1,0,10.4932,-25.0788,-18.6957,1402779600,0,-5.61855,6.51603,-1,0,-1
59,1,0,10.0821,-25.4684,-18.5296,1402783200,0,-8.84272,-8.31907,-1,0,0
60,1,0,9.65267,-25.8496,-18.3599,1402786800,0,-8.10108,6.36304,-1,0,-1
61,1,0,9.21015,-26.2291,-18.1861,1402790400,0,17.2284,3.69029,-1,0,0
62,1,0,8.77714,-26.5748,-18.0203,1402794000,0,-7.09871,13.8138,-1,0,0
63,1,0,8.32844,-26.915,-17.8502,1402797600,0,-7.04001,15.2184,-1,0,-1
64,1,0,7.85444,-27.242,-17.6772,1402801200,0,-3.73914,-11.8548,-1,0,1
65,1,0,7.36213,-27.5543,-17.5012,1402804800,0,1.09705,4.09348,-1,0,-1
66,1,0,6.86224,-27.8448,-17.3259,1402808400,0,16.7203,-5.89781,-1,0,-1
67,1,0,6.36267,-28.1087,-17.1543,1402812000,0,-8.25311,8.15233,-1,0,-1
68,1,0,5.84938,-28.3571,-16.9807,1402815600,0,12.9845,-9.17271,-1,0,-1
69,1,0,5.34009,-28.5814,-16.8112,1402819200,0,-10.9792,0.582513,-1,0,-1
70,1,0,4.79592,-28.7936,-16.6376,1402822800,0,-1.70769,-2.24395,-1,0,-1
71,1,0,4.23673,-28.9848,-16.4701,1402826400,0,-11.1252,5.2367,-1,0,-1
72,1,0,3.69803,-29.1379,-16.3242,1402830000,0,-12.6307,-4.7537,-1,0,-1
73,1,0,3.15166,-29.2594,-16.1966,1402833600,0,18.549,9.68488,-1,0,-1
74,1,0,2.59854,-29.348,-16.0907,1402837200,0,-5.20013,11.2261,-1,0,-1
75,1,0,2.01734,-29.4038,-16.0081,1402840800,0,8.62676,-0.381861,-1,0,-1
76,1,0,1.43979,-29.4228,-15.9566,1402844400,0,-7.58298,-7.32714,-1,0,-1
77,1,0,0.860983,-29.3991,-15.9441,1402848000,0,-3.83454,-4.35185,-1,0,-1
78,1,0,0.275451,-29.3318,-15.9737,1402851600,0,5.71079,16.6163,-1,-1,-1
79,1,0,-0.28261,-29.218,-16.0518,1402855200,0,-7.32059,8.35498,-1,-1,-1
80,1,0,-0.831398,-29.0497,-16.1863,1402858800,0,8.22669,-3.32859,-1,-1,2
81,1,0,-1.35984,-28.8292,-16.3764,1402862400,0,17.5658,11.1395,-1,-1,1
82,1,0,-1.85283,-28.5614,-16.6226,1402866000,0,-5.91767,6.33597,0,-1,1
83,1,0,-2.29648,-28.2554,-16.9106,1402869600,0,18.4223,0.481378,0,-1,-1
84,1,0,-2.68838,-27.9199,-17.2336,1402873200,0,-12.2425,10.0269,-1,-1,-1
85,1,0,-3.02458,-27.5618,-17.5917,1402876800,0,9.40656,0.690776,-1,-1,0
86,1,0,-3.30634,-27.1861,-17.9779,1402880400,0,-13.0534,8.0341,-1,-1,2
87,1,0,-3.53272,-26.8072,-18.3898,1402884000,0,15.0205,1.01559,-1,-1,0
88,1,0,-3.71767,-26.426,-18.8209,1402887600,0,3.75552,8.77499,-1,-1,1
89,1,0,-3.86558,-26.0328,-19.2477,1402891200,0,2.68987,-9.29029,-1,-1,0
90,1,0,-3.98965,-25.6243,-19.6771,1402894800,0,2.81155,-12.0299,-1,-1,0
91,1,0,-4.10347,-25.2039,-20.0833,1402898400,0,-12.4287,6.23651,-1,-1,0
92,1,0,-4.22378,-24.7557,-20.469,1402902000,0,9.77702,-6.94636,-1,-1,1
93,1,0,-4.36423,-24.3032,-20.8272,1402905600,0,5.87214,-6.93174,-1,-1,0
94,1,0,-4.53148,-23.8629,-21.1321,1402909200,0,4.97306,5.28788,-1,-1,0
95,1,0,-4.76291,-23.3828,-21.4189,1402912800,0,8.83315,14.8217,-1,-1,1
96,1,0,-5.04495,-22.9128,-21.649,1402916400,0,10.4928,12.7927,0,-1,0
97,1,0,-5.36537,-22.4889,-21.7878,1402920000,0,17.2969,8.85192,0,-1,2
