,0,1,2,3,4,5,6
0,2.28408,0.3137605,-0.005814787,0.12787078,0.1280234,-0.5082507,1420657000.0
1,2.1427386,1.2779845,-0.08977858,0.12784897,0.12786454,0.6407078,1451322200.0
2,2.1420317,-0.21788682,0.035781596,0.12785764,0.1278987,0.37700543,1404357100.0
3,1.9999557,-0.22606683,-0.028710835,0.127856,0.12787588,-0.1692318,1445446900.0
4,2.2855363,-0.27250868,-0.050812617,0.12785035,0.12780775,0.86665404,1407581700.0
5,1.9996803,-0.09980366,-0.056555755,0.12785386,0.12783046,0.65919673,1471944800.0
6,1.8566543,-0.78221345,-0.08410827,0.12785009,0.12792127,0.8477273,1403749200.0
7,2.1428473,-0.8699108,-0.050801806,0.12784988,0.12786487,0.6417994,1413692700.0
8,2.2854958,0.5068889,-0.07271125,0.1278598,0.12788722,0.8101381,1536664400.0
9,2.6948202,-0.89200354,0.15810154,0.12785229,0.12787604,0.5789626,1407527000.0
10,1.4284735,0.49445435,-0.09846267,0.12785211,0.1278418,0.0378079,1428253400.0
11,2.8570538,-0.72748864,-0.0721649,0.12785544,0.12777369,0.6783663,1456682500.0
12,2.14286,-0.89596796,-0.08398306,0.12785079,0.1278645,0.90440273,1403778700.0
13,1.2856158,-0.45370233,-0.106141746,0.12785512,0.12786451,-0.05602498,1456898700.0
14,2.142352,-0.9549959,-0.04643211,0.12785605,0.1278532,0.4520955,1411794600.0
15,2.2855873,-0.7063976,-0.07926817,0.1278572,0.12780775,0.22625555,1471199900.0
16,2.5712574,-0.6432243,-0.06601457,0.12785406,0.12775098,0.6785265,1412101600.0
17,2.8568463,-0.70667017,-0.062104918,0.12785599,0.12777369,0.65972286,1413031200.0
18,1.7143759,0.039356835,-0.08856215,0.12785445,0.1277964,-0.0749646,1423149800.0
19,2.1427028,-1.173895,-0.066908486,0.12785186,0.12778501,0.6971662,1406967000.0
20,2.5709121,-0.8203155,-0.080559835,0.12785162,0.12777366,0.5088913,1402905000.0
21,1.999243,-0.336056,-0.09427681,-1.0067433,-1.0067785,0.20743485,1413183400.0
22,2.1437988,-0.38007092,-0.08732125,0.12785609,0.1278303,0.4159658,1412886700.0
23,2.4285047,-0.69800544,-0.078368396,0.12785456,0.12775096,0.71611345,1412421900.0
24,2.285746,-0.34000552,-0.10307827,0.12785299,0.1278191,0.47129267,1419144300.0
25,2.4282608,-0.5680348,-0.046697866,0.12785603,0.12780768,0.5091595,1403468200.0
26,1.999968,-0.3735652,-0.08340247,0.12785389,0.12778504,0.67832166,1416738200.0
27,2.5713935,-0.53788316,-0.08114874,0.12785299,0.12775098,0.5089264,1413545200.0
28,3.1427417,-0.34840846,-0.07757197,0.12785488,0.12778504,0.37706894,1419933200.0
29,1.9992557,-0.7148169,-0.08462835,0.12785572,0.12780778,0.5652589,1411883900.0
30,2.2850516,-0.41176575,0.070092514,0.12786119,0.12787573,0.47149897,1419514400.0
31,2.1428802,-0.25997654,-0.018709516,0.12785153,0.12790996,0.28292385,1412815700.0
32,2.4289043,-0.55457586,-0.11196305,0.12785174,0.1278418,0.4337558,1402889700.0
33,2.7142527,-0.83293724,0.11020751,0.12785262,0.12783048,0.54652315,1408063400.0
34,2.7119064,-0.5587806,-0.09937924,0.12785059,0.1278756,0.37785006,1414047100.0
35,1.428586,-0.1586863,-0.10443337,0.12785079,0.12786452,0.2827444,1417895400.0
36,2.2853596,-0.68528104,-0.07527547,0.12785278,0.1278418,0.43361247,1420704900.0
37,2.2840497,-0.39270106,-0.08691665,0.12785085,0.12789884,0.5844541,1407669400.0
38,1.5715715,-0.78227544,-0.09081284,0.12784982,0.12783046,0.18879116,1411828500.0
39,1.4288266,-0.42859218,-0.097549215,0.12785144,0.1277964,0.47119603,1412520400.0
40,1.7137898,-0.6643085,-0.10668151,0.12784936,0.12783046,0.39579183,1417681200.0
41,2.4329374,-0.7866692,-0.09498101,0.1278495,0.12785225,0.8725219,1407658100.0
42,2.5706866,-0.7875486,-0.09665283,0.12784906,0.12781915,0.8651558,1408187400.0
43,1.7142589,-0.2134489,-0.10852299,0.12785326,0.12783046,0.28275862,1431000300.0
44,2.9997368,-0.55475914,-0.10968923,0.12784901,0.12793264,0.75371766,1413444400.0
45,2.9999914,-0.019729495,-0.09661428,0.12784955,0.12788725,0.86666924,1486279700.0
46,2.5699983,-0.7583934,-0.06277629,0.12784892,0.12780781,0.69586295,1403079000.0
47,2.1424208,-0.57198703,-0.107918456,0.12785028,0.12789837,0.37706673,1408211800.0
48,1.1429158,0.26665482,-0.092067555,0.12785286,0.12780775,-0.48942932,1431606900.0
49,2.142353,-0.6642347,-0.084927805,0.12785406,0.12785317,-0.13185848,1421076200.0
50,2.286572,-0.5173349,-0.09917548,0.12785144,0.12788668,0.36080223,1403013600.0
51,1.5923531,0.04702895,-0.111690566,0.12785274,0.12782988,0.3231117,1429725300.0
52,2.1436298,-0.37418878,-0.09717499,0.12785484,0.12777753,-0.24087939,1403359400.0
