,Beach Name,Water Temperature,Turbidity,Wave Height,Wave Period,Battery Life,Measurement Timestamp,Measurement_Timestamp_Org,UMAP-0,UMAP-1
37,1.0,0.0,0.0,-0.7915908784004654,-0.34270770117299176,-0.8636311841596694,1691550000.0,2023-05-24 04:00:00,19.125017,16.301386
38,1.0,0.0,0.0,-0.8679729080207363,-0.34270770117299176,-0.6052066989481957,1691557200.0,2023-05-24 05:00:00,18.79228,16.580297
39,1.0,0.0,0.0,-0.7152088487801944,-0.09554985223133707,0.29927899929195706,1691560800.0,2023-05-24 06:00:00,18.514221,16.827084
40,1.0,0.0,0.0,-0.4096807302991106,-1.3313390969396108,0.42849124189769283,1691564400.0,2023-05-24 07:00:00,18.393236,16.970264
41,1.0,0.0,0.0,-0.7152088487801944,-1.3313390969396108,-0.3467822137367241,1691568000.0,2023-07-10 14:20:00,18.253664,17.103964
42,1.0,0.0,0.0,-0.7152088487801944,-1.454918021410438,2.6250993661952102,1691571600.0,2023-07-10 15:20:00,18.042612,17.37309
43,1.0,0.0,0.0,-0.5624447895396526,-1.3931285591750246,1.20376469753211,1691575200.0,2023-07-10 16:20:00,18.088455,17.435965
44,1.0,0.0,0.0,-0.6388268191599235,-1.3931285591750246,1.7206136679550552,1691578800.0,2023-07-10 17:00:00,17.884407,17.701153
45,1.0,0.0,0.0,-0.5624447895396526,-1.1459707102333696,0.6869157271091667,1691582400.0,2023-07-10 18:00:00,17.810366,17.820116
46,1.0,0.0,0.0,-0.4096807302991106,-0.8988128612917149,0.42849124189769283,1691586000.0,2023-07-10 19:00:00,17.597956,18.103624
47,1.0,0.0,0.0,-0.4860627599193815,-1.2077601724687834,0.42849124189769283,1691589600.0,2023-07-10 20:00:00,17.468895,18.228157
48,1.0,0.0,0.0,-0.4096807302991106,-1.3313390969396108,0.8161279697149024,1691593200.0,2023-07-10 21:00:00,17.168243,18.53102
49,1.0,0.0,0.0,-0.4096807302991106,-1.3313390969396108,0.6869157271091667,1691596800.0,2023-07-10 22:00:00,17.157766,18.531471
50,1.0,0.0,0.0,-0.4860627599193815,-1.0841812479979562,0.8161279697149024,1691600400.0,2023-07-10 23:00:00,16.905771,18.567694
51,1.0,0.0,0.0,-0.4096807302991106,-1.3313390969396108,0.8161279697149024,1691604000.0,2023-07-11 00:00:00,16.711603,18.649826
52,1.0,0.0,0.0,-0.3332987006788397,-0.8370233990563012,0.5577034845034287,1691607600.0,2023-07-11 01:00:00,16.56165,18.601912
53,1.0,0.0,0.0,-0.18053464143829773,-0.7752339368208877,-0.08835772852525255,1691611200.0,2023-07-11 02:00:00,16.28183,18.714201
54,1.0,0.0,0.0,-0.25691667105856864,-0.9606023235271287,0.04085451408048553,1691614800.0,2023-07-11 03:00:00,16.197035,18.70207
55,1.0,0.0,0.0,-0.18053464143829773,-1.0223917857625424,0.8161279697149024,1691618400.0,2023-07-11 04:00:00,15.956417,18.871595
56,1.0,0.0,0.0,-0.4860627599193815,-1.2695496347041972,0.17006675668622132,1691622000.0,2023-07-11 05:00:00,15.781608,18.972906
57,1.0,0.0,0.0,-0.7152088487801944,-1.3313390969396108,-0.9928434267654053,1691625600.0,2023-07-11 06:00:00,15.596112,19.06027
58,1.0,0.0,0.0,-0.7152088487801944,-0.713444474585474,-0.9928434267654053,1691629200.0,2023-07-11 07:00:00,15.287026,19.184834
59,1.0,0.0,0.0,-0.7915908784004654,1.69634455259566,-0.3467822137367241,1691632800.0,2023-07-11 08:00:00,15.139883,19.280405
60,1.0,0.0,0.0,-0.7915908784004654,0.893081543535282,0.5577034845034287,1691636400.0,2023-07-14 12:00:00,14.951401,19.165405
61,1.0,0.0,0.0,-0.8679729080207363,-0.5898655501146465,-0.2175699711309883,1691643600.0,2023-07-14 13:00:00,14.710958,19.174795
62,1.0,0.0,0.0,-0.7915908784004654,-1.5167074836458518,-1.2512679119768768,1691647200.0,2023-07-25 17:00:00,14.391562,19.054192
63,1.0,0.0,0.0,-0.7152088487801944,-0.4662866256438193,1.979038153166529,1691658000.0,2023-07-25 18:00:00,14.160709,18.935318
64,1.0,0.0,0.0,-0.5624447895396526,-0.9606023235271287,0.29927899929195706,1691661600.0,2023-07-25 19:00:00,13.976819,18.84906
65,1.0,0.0,0.0,-0.3332987006788397,-0.6516550123500602,0.8161279697149024,1691665200.0,2023-07-25 20:00:00,13.894089,18.845737
66,1.0,0.0,0.0,-0.4860627599193815,-1.2077601724687834,0.29927899929195706,1691668800.0,2023-07-25 21:00:00,13.673435,18.74686
67,1.0,0.0,0.0,-0.18053464143829773,-0.8988128612917149,0.5577034845034287,1691672400.0,2023-07-25 22:00:00,13.415609,18.687418
68,1.0,0.0,0.0,-0.25691667105856864,-1.0223917857625424,0.42849124189769283,1691676000.0,2023-07-25 23:00:00,13.225897,18.606022
