,Unnamed: 0,Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Wave Height,Wave Period,Battery Life,UMAP-0,UMAP-1,UMAP-2
33421,33421,4.0,1403460000.0,-1.0,-0.0,-0.0,-1.0,1.0,1.4310144,3.859586,9.1473055
15380,15380,2.0,1440694800.0,-1.0,-0.0,-0.0,-1.0,0.0,13.07559,-2.0772436,-0.7312852
37115,37115,4.0,1441573200.0,-2.0,-0.0,-1.0,-1.0,1.0,5.7030907,-4.11255,7.4679484
8732,8732,1.0,1465790400.0,-1.0,-0.0,-0.0,1.0,-0.0,6.568723,0.4018494,8.142776
6892,6892,1.0,1437512400.0,1.0,-0.0,-1.0,-1.0,0.0,-0.46982804,-4.514261,2.5336406
30791,30791,3.0,1563516000.0,0.0,-0.0,-1.0,3.0,-0.0,7.458109,2.9314897,1.6911031
9680,9680,1.0,1469458800.0,1.0,-0.0,-0.0,-1.0,-1.0,4.8588214,2.7217264,4.3674173
37536,37536,5.0,1403877600.0,1.0,-0.0,-0.0,-1.0,-0.0,-2.6188395,1.7892791,12.472752
32389,32389,3.0,1622437200.0,-2.0,1.0,-0.0,-1.0,-0.0,9.107698,3.4317815,7.360069
19008,19008,3.0,1405026000.0,-0.0,-0.0,-1.0,-1.0,2.0,7.682427,13.762469,12.325324
5021,5021,1.0,1407384000.0,1.0,-0.0,-0.0,-1.0,-0.0,7.3401494,-3.2069223,11.133323
34231,34231,4.0,1406520000.0,-1.0,1.0,4.0,3.0,0.0,10.570925,12.314922,6.6801696
23580,23580,3.0,1469934000.0,1.0,-0.0,0.0,1.0,1.0,6.0274076,10.630265,8.6031685
18187,18187,2.0,1473789600.0,1.0,-0.0,0.0,-1.0,-2.0,9.600313,0.6036666,8.2060995
2304,2304,0.0,1437210000.0,0.0,-0.0,-1.0,1.0,-0.0,3.2710223,-3.1482887,-2.08792
4435,4435,1.0,1405209600.0,-1.0,-0.0,-1.0,3.0,1.0,9.242732,1.4041786,12.566376
12173,12173,2.0,1405846800.0,-0.0,-0.0,-1.0,0.0,1.0,16.955444,4.5389266,6.457219
28795,28795,3.0,1532851200.0,1.0,-0.0,-1.0,0.0,2.0,3.7699902,12.26769,4.31143
578,578,0.0,1404694800.0,-1.0,-0.0,-1.0,3.0,-0.0,4.3261046,-8.076706,1.5809863
23895,23895,3.0,1471075200.0,1.0,-0.0,-1.0,1.0,-0.0,-0.5602538,6.527524,6.803055
3477,3477,1.0,1401645600.0,-0.0,-0.0,-1.0,3.0,1.0,7.2526307,10.887114,0.5645302
25170,25170,3.0,1496462400.0,-1.0,-0.0,0.0,-1.0,-0.0,2.3757782,-1.6361241,8.260238
27662,27662,3.0,1528642800.0,-1.0,-0.0,1.0,0.0,0.0,7.9527183,8.20747,13.112152
32270,32270,3.0,1621947600.0,-2.0,2.0,0.0,-1.0,1.0,5.9202576,7.5728755,6.944519
10984,10984,2.0,1401418800.0,-1.0,0.0,1.0,-1.0,1.0,5.5010686,7.6145673,3.4554565
12813,12813,2.0,1408183200.0,1.0,-0.0,-0.0,-1.0,-0.0,8.111758,-5.3520436,8.175365
22522,22522,3.0,1465434000.0,-1.0,-0.0,0.0,0.0,0.0,1.8306507,4.749743,-1.055873
16405,16405,2.0,1467003600.0,0.0,-0.0,-1.0,4.0,-1.0,3.2382936,11.912271,6.9495907
16698,16698,2.0,1468270800.0,1.0,-0.0,-1.0,0.0,1.0,-1.1697989,-1.1864293,9.853317
38527,38527,5.0,1435510800.0,-0.0,-0.0,-0.0,0.0,0.0,13.29008,12.763697,7.0572624
4295,4295,1.0,1404626400.0,-0.0,-0.0,-1.0,-1.0,-1.0,7.4157157,5.6658006,-8.773817
38445,38445,5.0,1435208400.0,-1.0,-0.0,-1.0,0.0,1.0,5.148317,2.0368378,10.170385
11253,11253,2.0,1402394400.0,-1.0,1.0,1.0,-1.0,0.0,-0.83085406,9.139641,-1.906253
3282,3282,0.0,1441620000.0,-1.0,-0.0,-1.0,3.0,-0.0,-4.3368096,10.092399,1.3176367
7739,7739,1.0,1440799200.0,-0.0,-0.0,-1.0,-1.0,0.0,0.7054478,2.991042,0.16584048
