,Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Wave Height,Wave Period,Battery Life,UMAP-0,UMAP-1,UMAP-2
0,0.0,1379498400.0,-0.0,0.0,-0.0,0.0,-0.0,-4.1324096,12.107164,5.350244
1,0.0,1402574400.0,2.0,-0.0,-2.0,3.0,2.0,4.1646442,-0.36117038,13.019413
2,0.0,1402578000.0,-0.0,-0.0,2.0,4.0,2.0,14.623849,6.7845674,-2.7473652
3,0.0,1402581600.0,-1.0,-0.0,-0.0,0.0,2.0,-1.977223,-0.32472226,-0.134064
4,0.0,1402585200.0,-1.0,-0.0,-0.0,0.0,1.0,7.83352,15.44758,4.5344925
5,0.0,1402588800.0,-1.0,-0.0,-0.0,0.0,1.0,-1.1981059,2.4510014,-5.394957
6,0.0,1402592400.0,-1.0,-0.0,-1.0,0.0,1.0,8.028763,3.492693,8.141399
7,0.0,1402596000.0,-1.0,-0.0,-1.0,0.0,1.0,-1.3057722,4.7843833,11.612549
8,0.0,1402599600.0,-1.0,-0.0,-1.0,-1.0,1.0,-5.231348,8.022631,8.193051
9,0.0,1402603200.0,-1.0,-0.0,-0.0,0.0,1.0,-3.0993657,-0.66375786,6.946214
10,0.0,1402606800.0,-1.0,-0.0,-0.0,-1.0,1.0,8.181189,0.6950976,11.583163
11,0.0,1402610400.0,-1.0,-0.0,-0.0,-1.0,1.0,0.44283122,12.832031,-2.896206
12,0.0,1402614000.0,-1.0,-0.0,-0.0,-1.0,1.0,4.8453135,7.5978923,2.4079747
13,0.0,1402617600.0,-1.0,-0.0,-0.0,-1.0,1.0,-0.49817637,-3.8238428,-0.07150081
14,0.0,1402621200.0,-1.0,-0.0,-0.0,0.0,1.0,11.856786,13.241649,9.019863
15,0.0,1402624800.0,-1.0,-0.0,0.0,-1.0,1.0,5.1025095,1.5749983,14.7504015
16,0.0,1402628400.0,-1.0,-0.0,0.0,-1.0,1.0,1.5255308,6.7435474,10.546349
17,0.0,1402632000.0,-1.0,-0.0,0.0,-1.0,1.0,4.904453,-4.40053,1.7816736
18,0.0,1402635600.0,-1.0,-0.0,0.0,-1.0,1.0,4.1780376,13.0489,-4.2058787
19,0.0,1402639200.0,-1.0,-0.0,-0.0,-1.0,1.0,8.969025,13.808097,9.185842
20,0.0,1402642800.0,-1.0,-0.0,0.0,-1.0,1.0,-1.5103301,7.457318,-2.6807313
21,0.0,1402646400.0,-1.0,-0.0,0.0,-1.0,1.0,1.0521258,-4.7703295,7.7705426
22,0.0,1402650000.0,-1.0,-0.0,0.0,-1.0,1.0,11.649893,-0.032037012,-2.5293772
23,0.0,1402653600.0,-1.0,-0.0,0.0,-1.0,1.0,6.121765,1.1379834,5.4500203
24,0.0,1402657200.0,-1.0,-0.0,0.0,-1.0,1.0,7.491728,-1.4589914,14.0823145
25,0.0,1402660800.0,-1.0,-0.0,-0.0,-1.0,1.0,13.434569,-0.69709694,4.1759925
26,0.0,1402664400.0,-1.0,-0.0,-0.0,-1.0,1.0,11.185778,11.1205225,9.018584
27,0.0,1402668000.0,-1.0,-0.0,-0.0,-1.0,1.0,-6.191988,8.071772,2.5557292
28,0.0,1402671600.0,-1.0,-0.0,-0.0,-1.0,1.0,6.600597,-6.6715198,6.7769203
29,0.0,1402675200.0,-1.0,-0.0,-0.0,0.0,1.0,2.1933708,9.108157,6.3544664
30,0.0,1402678800.0,-1.0,-0.0,-0.0,-1.0,1.0,16.079115,2.71283,6.084677
31,0.0,1402682400.0,-1.0,-0.0,-0.0,-1.0,1.0,4.5887957,1.600639,14.998583
32,0.0,1402686000.0,-1.0,-0.0,0.0,-1.0,1.0,13.048034,-2.1569157,7.634731
33,0.0,1402689600.0,-1.0,-0.0,-0.0,1.0,1.0,13.630797,-1.8927311,7.2557364
34,0.0,1402693200.0,-1.0,-0.0,-0.0,0.0,1.0,8.098325,10.341913,-2.3427277
35,0.0,1402696800.0,-1.0,-0.0,-1.0,-1.0,1.0,13.734532,-0.36397997,4.7396784
36,0.0,1402700400.0,-1.0,-0.0,-1.0,0.0,1.0,10.421181,3.0789015,14.309983
37,0.0,1402704000.0,-1.0,-0.0,-0.0,0.0,1.0,8.212926,11.415501,13.139635
