,Beach Name,Measurement Timestamp,Water Temperature,Turbidity,Wave Height,Wave Period,Battery Life,UMAP-0,UMAP-1,UMAP-2
450,0,1693213200.0,0.0,0.0,0.12499347704278584,0.2751869211811446,1.0745524549263785,7.5394816,2.094795,-6.2191157
451,0,1693216800.0,0.0,0.0,0.04861144742251502,0.08981853447490362,0.5577034845034331,7.342942,2.2300944,-6.2146835
452,0,1693220400.0,0.0,0.0,0.20137550666305687,0.0280290722394896,0.6869157271091711,7.352366,2.5079207,-6.1128373
453,0,1693224000.0,0.0,0.0,0.12499347704278584,-0.09554985223133762,0.2992789992919616,7.389345,2.7797582,-5.9988804
454,0,1693227600.0,0.0,0.0,0.12499347704278584,-0.03376038999592387,0.816127969714907,7.4217534,3.0123022,-5.9256415
455,0,1693231200.0,0.0,0.0,0.04861144742251502,-0.09554985223133762,0.2992789992919616,7.436209,3.2753465,-5.829325
456,0,1693234800.0,0.0,0.0,-0.027770582197756008,-0.46628662564381984,0.2992789992919616,7.537998,3.4443455,-5.9244876
457,0,1693238400.0,0.0,0.0,-0.10415261181802703,-0.28091823893757856,0.4284912418976974,7.6388025,3.6459305,-5.996865
458,0,1693242000.0,0.0,0.0,-0.10415261181802703,-0.09554985223133762,0.9453402123206427,7.723505,3.8966315,-6.0095506
459,0,1693245600.0,0.0,0.0,-0.18053464143829795,-0.09554985223133762,0.9453402123206427,7.825314,4.047683,-6.0681043
460,0,1693249200.0,0.0,0.0,-0.18053464143829795,-0.15733931446675137,0.9453402123206427,7.998926,4.3642297,-6.1859484
461,0,1693252800.0,0.0,0.0,-0.25691667105856886,-0.28091823893757856,-0.605206698948191,8.239391,4.5969653,-6.2718444
462,0,1693256400.0,0.0,0.0,-0.40968073029911084,-0.15733931446675137,-0.9928434267654005,8.373801,4.670849,-6.2669296
463,0,1693260000.0,0.0,0.0,-0.3332987006788399,-1.2077601724687839,-1.1220556693711363,8.641998,4.817522,-6.316871
464,0,1693263600.0,0.0,0.0,-0.5624447895396527,-1.2077601724687839,-1.1220556693711363,8.941881,4.822275,-6.359109
465,0,1693267200.0,0.0,0.0,-0.5624447895396527,-1.1459707102333703,-0.8636311841596648,9.250765,4.953442,-6.4773235
466,0,1693270800.0,0.0,0.0,-0.5624447895396527,-1.2077601724687839,-0.9928434267654005,9.528553,5.012835,-6.600025
467,0,1693274400.0,0.0,0.0,-0.5624447895396527,-1.1459707102333703,-0.9928434267654005,9.8229265,5.103715,-6.7167354
468,0,1693278000.0,0.0,0.0,-0.5624447895396527,-1.1459707102333703,0.17006675668622587,10.090028,5.1855116,-6.7949405
469,0,1693281600.0,0.0,0.0,-0.5624447895396527,-0.8988128612917154,0.6869157271091711,10.325846,5.263752,-6.834646
470,0,1693285200.0,0.0,0.0,-0.5624447895396527,-0.7134444745854746,0.6869157271091711,10.657947,5.4245324,-6.7897625
471,0,1693288800.0,0.0,0.0,-0.48606275991938175,-0.7752339368208883,0.6869157271091711,10.7750635,5.3631444,-6.828718
472,0,1693292400.0,0.0,0.0,-0.5624447895396527,-0.7134444745854746,1.462189182743588,11.05522,5.418579,-6.7539763
473,0,1693296000.0,0.0,0.0,-0.7152088487801946,-0.7134444745854746,0.040854514080490116,11.359312,5.478773,-6.710369
474,0,1693299600.0,0.0,0.0,-0.7915908784004656,-0.9606023235271293,2.495887123589476,11.628583,5.4461575,-6.6214466
